11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
,IPGP,,FFIV,,DLTR,,CHD,,CZR,,,UNH,,,PYPL
,IQV,,FRT,,D,,CTXS,,COF,,,UHS,,,PENN
,JKHY,,FIS,,DPZ,,KO,,CAH,,,WYNN,,,PSX
,J,,FLT,,DOW,,CTSH,,KMX,,,XEL,,,PPL
,JBHT,,FLIR,,DTE,,CL,,CCL,,,,,,PGR
,KEYS,,FOXA,,DUK,,CMCSA,,CTLT,,,,,,PRU
,LEN,,GRMN,,DRE,,STZ,,CAT,,,,,,RL
,LIN,,IT,,EBAY,,CPRT,,CBOE,,,,,,RJF
,LYV,,GNRC,,ECL,,CCI,,CDW,,,,,,RTX
,MPC,,GPC,,EIX,,CSX,,CERN,,,,,,RHI
,MKTX,,GILD,,EA,,CMI,,CF,,,,,,SPG
,MAR,,GPN,,EMR,,DHI,,SCHW,,,,,,SWKS
,MLM,,GS,,ENPH,,DRI,,CHTR,,,,,,STT
,MA,,HAL,,ETR,,DVA,,CVX,,,,,,SYF
,MCK,,HIG,,EOG,,DE,,CB,,,,,,TFX
,MCHP,,HSY,,EQIX,,DAL,,CHD,,,,,,TER
,MCO,,HRL,,EQR,,XRAY,,CI,,,,,,TMO
,NSC,,HWM,,ESS,,DXCM,,CSCO,,,,,,UDR
,NLOK,,HPQ,,EL,,DFS,,CTXS,,,,,,UNP
,ORLY,,HBAN,,ES,,DISCA,,CLX,,,,,,UNH
,ORCL,,IEX,,EXPD,,DISCK,,CME,,,,,,UHS
,OTIS,,INTC,,XOM,,DISH,,CMS,,,,,,WAT
,PCAR,,IP,,FFIV,,DLTR,,KO,,,,,,WRK
,PH,,IVZ,,FRT,,D,,CTSH,,,,,,WMB
,PYPL,,IPGP,,FDX,,DPZ,,CL,,,,,,WYNN
,PENN,,IQV,,FIS,,DOW,,CMCSA,,,,,,XEL
,PSX,,JKHY,,FLT,,DTE,,CAG,,,,,,
,POOL,,J,,FLIR,,DUK,,STZ,,,,,,
,PPL,,JBHT,,FOXA,,DRE,,COO,,,,,,
,PGR,,SJM,,GRMN,,EBAY,,CPRT,,,,,,
,PRU,,KEYS,,IT,,ECL,,GLW,,,,,,
,RL,,KMI,,GNRC,,EIX,,COST,,,,,,
,RJF,,KR,,GPC,,EW,,CCI,,,,,,
,RTX,,LHX,,GILD,,EA,,CSX,,,,,,
,RSG,,LW,,GPN,,EMR,,CMI,,,,,,
,RHI,,LEN,,GS,,ENPH,,DHI,,,,,,
,SPG,,LIN,,HAL,,ETR,,DHR,,,,,,
,SWKS,,LYV,,HIG,,EOG,,DRI,,,,,,
,STT,,LMT,,PEAK,,EQIX,,DVA,,,,,,
,SYF,,L,,HSY,,EQR,,DE,,,,,,
,TFX,,MPC,,HES,,ESS,,DAL,,,,,,
,TER,,MKTX,,HPE,,EL,,XRAY,,,,,,
,TMO,,MAR,,HRL,,EVRG,,DVN,,,,,,
,TJX,,MLM,,HWM,,ES,,DXCM,,,,,,
,UDR,,MA,,HPQ,,RE,,DLR,,,,,,
,UNP,,MCD,,HBAN,,EXC,,DFS,,,,,,
,UNH,,MCK,,HII,,EXPE,,DISCA,,,,,,
,UHS,,MCHP,,IEX,,EXPD,,DISCK,,,,,,
,VTR,,MCO,,IDXX,,XOM,,DISH,,,,,,
,DIS,,NSC,,INTC,,FFIV,,DG,,,,,,
,WM,,NLOK,,IP,,FRT,,DLTR,,,,,,
,WAT,,ORLY,,IVZ,,FDX,,D,,,,,,
,WRK,,ORCL,,IPGP,,FIS,,DPZ,,,,,,
,WMB,,OTIS,,IQV,,FLT,,DOW,,,,,,
,WYNN,,PCAR,,JKHY,,FLIR,,DTE,,,,,,
,XEL,,PH,,J,,FMC,,DUK,,,,,,
,,,PYPL,,JBHT,,FTNT,,DRE,,,,,,
,,,PENN,,SJM,,FBHS,,ETN,,,,,,
,,,PSX,,KEYS,,FOXA,,EBAY,,,,,,
,,,POOL,,KMI,,FCX,,ECL,,,,,,
,,,PPL,,KR,,GRMN,,EIX,,,,,,
,,,PGR,,LHX,,IT,,EW,,,,,,
,,,PRU,,LRCX,,GNRC,,EA,,,,,,
,,,PSA,,LW,,GE,,EMR,,,,,,
,,,RL,,LEN,,GIS,,ENPH,,,,,,
,,,RJF,,LNC,,GPC,,ETR,,,,,,
,,,RTX,,LIN,,GILD,,EOG,,,,,,
,,,RSG,,LYV,,GPN,,EFX,,,,,,
,,,RHI,,LMT,,GS,,EQIX,,,,,,
,,,SBAC,,L,,HAL,,EQR,,,,,,
,,,SLB,,MPC,,HIG,,ESS,,,,,,
,,,SPG,,MKTX,,HCA,,EL,,,,,,
,,,SWKS,,MAR,,PEAK,,EVRG,,,,,,
,,,SNA,,MLM,,HSY,,ES,,,,,,
,,,STT,,MA,,HES,,RE,,,,,,
,,,SYF,,MCD,,HPE,,EXC,,,,,,
,,,TTWO,,MCK,,HRL,,EXPE,,,,,,
,,,TFX,,MTD,,HST,,EXPD,,,,,,
,,,TER,,MCHP,,HWM,,XOM,,,,,,
,,,TMO,,MU,,HPQ,,FFIV,,,,,,
,,,TJX,,MCO,,HBAN,,FAST,,,,,,
,,,TYL,,NTAP,,HII,,FRT,,,,,,
,,,UDR,,NSC,,IEX,,FDX,,,,,,
,,,UNP,,NTRS,,IDXX,,FIS,,,,,,
,,,UNH,,NOC,,IR,,FLT,,,,,,
,,,UHS,,NLOK,,INTC,,FLIR,,,,,,
,,,VTR,,NRG,,IBM,,FMC,,,,,,
,,,DIS,,NUE,,IP,,F,,,,,,
,,,WM,,ORLY,,IVZ,,FTNT,,,,,,
,,,WAT,,ORCL,,IPGP,,FBHS,,,,,,
,,,WELL,,OTIS,,IQV,,FOXA,,,,,,
,,,WRK,,PCAR,,IRM,,BEN,,,,,,
,,,WHR,,PH,,JKHY,,FCX,,,,,,
,,,WMB,,PAYC,,J,,GRMN,,,,,,
,,,WYNN,,PYPL,,JBHT,,IT,,,,,,
,,,XEL,,PENN,,SJM,,GNRC,,,,,,
,,,,,PNR,,K,,GE,,,,,,
,,,,,PSX,,KEYS,,GIS,,,,,,
,,,,,POOL,,KIM,,GPC,,,,,,
,,,,,PPL,,KMI,,GILD,,,,,,
,,,,,PGR,,KR,,GPN,,,,,,
,,,,,PLD,,LHX,,GS,,,,,,
,,,,,PRU,,LRCX,,HAL,,,,,,
,,,,,PSA,,LW,,HIG,,,,,,
,,,,,PWR,,LVS,,HAS,,,,,,
,,,,,QCOM,,LDOS,,HCA,,,,,,
,,,,,RL,,LEN,,PEAK,,,,,,
,,,,,RJF,,LNC,,HSY,,,,,,
,,,,,RTX,,LIN,,HES,,,,,,
,,,,,RSG,,LYV,,HPE,,,,,,
,,,,,RHI,,LMT,,HLT,,,,,,
,,,,,ROL,,L,,HRL,,,,,,
,,,,,CRM,,LUMN,,HST,,,,,,
,,,,,SBAC,,MPC,,HWM,,,,,,
,,,,,SLB,,MKTX,,HPQ,,,,,,
,,,,,SPG,,MAR,,HUM,,,,,,
,,,,,SWKS,,MLM,,HBAN,,,,,,
,,,,,SNA,,MA,,HII,,,,,,
,,,,,LUV,,MKC,,IEX,,,,,,
,,,,,STT,,MCD,,IDXX,,,,,,
,,,,,STE,,MCK,,IR,,,,,,
,,,,,SYF,,MTD,,INTC,,,,,,
,,,,,TTWO,,MCHP,,IBM,,,,,,
,,,,,TFX,,MU,,IP,,,,,,
,,,,,TER,,MSFT,,INTU,,,,,,
,,,,,TMO,,MPWR,,ISRG,,,,,,
,,,,,TJX,,MCO,,IVZ,,,,,,
,,,,,TYL,,MS,,IPGP,,,,,,
,,,,,UDR,,MSCI,,IQV,,,,,,
,,,,,UAA,,NDAQ,,IRM,,,,,,
,,,,,UNP,,NTAP,,JKHY,,,,,,
,,,,,UNH,,NFLX,,J,,,,,,
,,,,,UHS,,NWL,,JBHT,,,,,,
,,,,,VTR,,NEM,,SJM,,,,,,
,,,,,VMC,,NWSA,,JCI,,,,,,
,,,,,WRB,,NWS,,K,,,,,,
,,,,,DIS,,NLSN,,KEY,,,,,,
,,,,,WM,,NSC,,KEYS,,,,,,
,,,,,WAT,,NTRS,,KMB,,,,,,
,,,,,WEC,,NOC,,KIM,,,,,,
,,,,,WELL,,NLOK,,KMI,,,,,,
,,,,,WST,,NCLH,,KHC,,,,,,
,,,,,WRK,,NRG,,KR,,,,,,
,,,,,WHR,,NUE,,LB,,,,,,
,,,,,WMB,,NXPI,,LHX,,,,,,
,,,,,WLTW,,ORLY,,LH,,,,,,
,,,,,WYNN,,OMC,,LRCX,,,,,,
,,,,,XEL,,ORCL,,LW,,,,,,
,,,,,ZBRA,,OTIS,,LVS,,,,,,
,,,,,,,PCAR,,LEG,,,,,,
,,,,,,,PH,,LDOS,,,,,,
,,,,,,,PAYC,,LEN,,,,,,
,,,,,,,PYPL,,LLY,,,,,,
,,,,,,,PENN,,LNC,,,,,,
,,,,,,,PNR,,LIN,,,,,,
,,,,,,,PSX,,LYV,,,,,,
,,,,,,,PNC,,LMT,,,,,,
,,,,,,,POOL,,L,,,,,,
,,,,,,,PPL,,LUMN,,,,,,
,,,,,,,PGR,,MRO,,,,,,
,,,,,,,PLD,,MPC,,,,,,
,,,,,,,PRU,,MKTX,,,,,,
,,,,,,,PSA,,MAR,,,,,,
,,,,,,,PHM,,MMC,,,,,,
,,,,,,,PVH,,MLM,,,,,,
,,,,,,,PWR,,MAS,,,,,,
,,,,,,,QCOM,,MA,,,,,,
,,,,,,,RL,,MKC,,,,,,
,,,,,,,RJF,,MCD,,,,,,
,,,,,,,RTX,,MCK,,,,,,
,,,,,,,RSG,,MTD,,,,,,
,,,,,,,RMD,,MGM,,,,,,
,,,,,,,RHI,,MCHP,,,,,,
,,,,,,,ROL,,MU,,,,,,
,,,,,,,CRM,,MSFT,,,,,,
,,,,,,,SBAC,,MAA,,,,,,
,,,,,,,SLB,,MHK,,,,,,
,,,,,,,SRE,,TAP,,,,,,
,,,,,,,SPG,,MDLZ,,,,,,
,,,,,,,SWKS,,MPWR,,,,,,
,,,,,,,SNA,,MNST,,,,,,
,,,,,,,SO,,MCO,,,,,,
,,,,,,,LUV,,MS,,,,,,
,,,,,,,SWK,,MSCI,,,,,,
,,,,,,,STT,,NDAQ,,,,,,
,,,,,,,STE,,NTAP,,,,,,
,,,,,,,SYF,,NFLX,,,,,,
,,,,,,,SYY,,NWL,,,,,,
,,,,,,,TTWO,,NEM,,,,,,
,,,,,,,TFX,,NWSA,,,,,,
,,,,,,,TER,,NWS,,,,,,
,,,,,,,TMO,,NEE,,,,,,
,,,,,,,TJX,,NLSN,,,,,,
,,,,,,,TSCO,,NSC,,,,,,
,,,,,,,TYL,,NTRS,,,,,,
,,,,,,,UDR,,NOC,,,,,,
,,,,,,,UAA,,NLOK,,,,,,
,,,,,,,UNP,,NCLH,,,,,,
,,,,,,,UNH,,NOV,,,,,,
,,,,,,,URI,,NRG,,,,,,
,,,,,,,UHS,,NUE,,,,,,
,,,,,,,VTR,,NXPI,,,,,,
,,,,,,,VMC,,ORLY,,,,,,
,,,,,,,WRB,,ODFL,,,,,,
,,,,,,,WBA,,OMC,,,,,,
,,,,,,,DIS,,OKE,,,,,,
,,,,,,,WM,,ORCL,,,,,,
,,,,,,,WAT,,OTIS,,,,,,
,,,,,,,WEC,,PCAR,,,,,,
,,,,,,,WELL,,PH,,,,,,
,,,,,,,WST,,PAYC,,,,,,
,,,,,,,WRK,,PYPL,,,,,,
,,,,,,,WHR,,PENN,,,,,,
,,,,,,,WMB,,PNR,,,,,,
,,,,,,,WLTW,,PBCT,,,,,,
,,,,,,,WYNN,,PEP,,,,,,
,,,,,,,XEL,,PKI,,,,,,
,,,,,,,YUM,,PRGO,,,,,,
,,,,,,,ZBRA,,PFE,,,,,,
,,,,,,,ZBH,,PM,,,,,,
,,,,,,,,,PSX,,,,,,
,,,,,,,,,PNW,,,,,,
,,,,,,,,,PNC,,,,,,
,,,,,,,,,POOL,,,,,,
,,,,,,,,,PPL,,,,,,
,,,,,,,,,PGR,,,,,,
,,,,,,,,,PLD,,,,,,
,,,,,,,,,PRU,,,,,,
,,,,,,,,,PTC,,,,,,
,,,,,,,,,PSA,,,,,,
,,,,,,,,,PHM,,,,,,
,,,,,,,,,PVH,,,,,,
,,,,,,,,,QRVO,,,,,,
,,,,,,,,,PWR,,,,,,
,,,,,,,,,QCOM,,,,,,
,,,,,,,,,RL,,,,,,
,,,,,,,,,RJF,,,,,,
,,,,,,,,,RTX,,,,,,
,,,,,,,,,O,,,,,,
,,,,,,,,,REGN,,,,,,
,,,,,,,,,RF,,,,,,
,,,,,,,,,RSG,,,,,,
,,,,,,,,,RMD,,,,,,
,,,,,,,,,RHI,,,,,,
,,,,,,,,,ROK,,,,,,
,,,,,,,,,ROL,,,,,,
,,,,,,,,,RCL,,,,,,
,,,,,,,,,CRM,,,,,,
,,,,,,,,,SBAC,,,,,,
,,,,,,,,,SLB,,,,,,
,,,,,,,,,STX,,,,,,
,,,,,,,,,SEE,,,,,,
,,,,,,,,,SRE,,,,,,
,,,,,,,,,NOW,,,,,,
,,,,,,,,,SHW,,,,,,
,,,,,,,,,SPG,,,,,,
,,,,,,,,,SWKS,,,,,,
,,,,,,,,,SNA,,,,,,
,,,,,,,,,SO,,,,,,
,,,,,,,,,LUV,,,,,,
,,,,,,,,,SWK,,,,,,
,,,,,,,,,STT,,,,,,
,,,,,,,,,STE,,,,,,
,,,,,,,,,SYF,,,,,,
,,,,,,,,,SYY,,,,,,
,,,,,,,,,TTWO,,,,,,
,,,,,,,,,TPR,,,,,,
,,,,,,,,,TGT,,,,,,
,,,,,,,,,TFX,,,,,,
,,,,,,,,,TER,,,,,,
,,,,,,,,,TSLA,,,,,,
,,,,,,,,,TXN,,,,,,
