11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ALK,ABMD,ALK,ABMD,ALK,ABMD,ALK,MMM,ALK,MMM,ALK,ALK,ALK,ALK,ALK,A
ALB,A,ALB,A,ALB,AMD,ALB,ABMD,ALB,ABT,ALB,ALB,ALB,CCL,ALB,APD
CCL,APD,BIIB,APD,BIIB,A,BIIB,AMD,BIIB,ABBV,AVY,AVY,AVY,FRT,CCL,ALK
CARR,ALK,CCL,ALK,CCL,APD,CCL,A,CCL,ABMD,BIIB,BLL,BLL,HBAN,FRT,ALB
FRT,ALB,CARR,ALB,CARR,ALK,CARR,APD,CARR,AMD,CCL,BIIB,BK,SPG,HBAN,AVY
HBAN,LNT,CTXS,ALLE,CHTR,ALB,SCHW,ALK,SCHW,AAP,CARR,BWA,BIIB,TFC,SPG,BLL
SHW,GOOGL,FRT,LNT,CTXS,ARE,CHTR,ALB,CHTR,AES,SCHW,CCL,BWA,VMC,TFC,BK
SPG,GOOG,HBAN,ALL,FRT,ALLE,CTXS,ARE,CTXS,AFL,CHTR,CARR,CCL,,UAL,BIIB
TFC,MO,MCK,GOOGL,HBAN,LNT,CPRT,ALLE,CPRT,A,CTAS,SCHW,CARR,,VMC,BWA
UAL,AMZN,SHW,GOOG,LIN,ALL,EXPE,LNT,EXPE,APD,CTXS,CHTR,SCHW,,,BXP
VMC,AAL,SPG,MO,L,GOOGL,FB,ALL,FB,ALK,CPRT,CTAS,CHTR,,,CCL
,AEP,TFC,AMZN,MCK,GOOG,FRT,GOOGL,FRT,ALB,EXPE,CTXS,CTAS,,,CARR
,AXP,UAL,AAL,SHW,MO,HBAN,GOOG,IT,ARE,FB,STZ,CTXS,,,CERN
,AMT,VMC,AEP,SPG,AMZN,LIN,MO,HBAN,ALLE,FRT,CPRT,STZ,,,SCHW
,AVY,,AXP,TFC,AAL,L,AMZN,ITW,LNT,IT,EMR,CPRT,,,CHTR
,BLL,,AMT,UAL,AEP,MCK,AAL,LW,ALL,HST,EXPE,DLR,,,CI
,BK,,T,UNM,AXP,SHW,AEP,LNC,GOOGL,HBAN,FB,DFS,,,CTAS
,BIIB,,ATO,VMC,AMT,SPG,AXP,LIN,GOOG,ITW,FRT,D,,,CTXS
,BWA,,AZO,,AWK,TFC,AIG,L,MO,LW,IT,DPZ,,,STZ
,BXP,,AVY,,T,UAL,AMT,MCK,AMZN,LNC,HSY,EBAY,,,CPRT
,CCL,,BLL,,ATO,UNM,AWK,O,AEE,LIN,HST,EMR,,,DLR
,CARR,,BAC,,AZO,VMC,AMP,REG,AAL,L,HBAN,EXPE,,,DFS
,CERN,,BK,,AVY,WY,AME,SHW,AEP,MMC,ITW,FB,,,D
,SCHW,,BIIB,,BLL,,APH,SPG,AXP,MKC,LW,FRT,,,DPZ
