11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ARE,ABT,ARE,ABT,ARE,ABT,ARE,ABT,ARE,ABT,ARE,ARE,ARE,APH,APH,ARE
APH,ARE,APH,ARE,APH,AMD,AMCR,ABBV,AMCR,ABBV,ALXN,ALXN,ALXN,BKNG,BKNG,ALXN
BKNG,ALXN,BKNG,ALXN,BKNG,AES,AAL,ABMD,AAL,ABMD,ALGN,ALGN,ALGN,CI,CI,ALGN
CI,ALGN,CI,ALGN,CI,A,APH,AMD,APH,ATVI,AMCR,AMCR,AMCR,ECL,ECL,ALLE
ECL,ALLE,ECL,ALLE,ECL,ALK,BKNG,AES,BKNG,ADBE,AAL,AAL,AAL,MGM,FRT,LNT
FRT,LNT,FRT,LNT,ENPH,ARE,CI,A,CI,AMD,APH,APH,APH,TRV,HCA,GOOGL
HCA,GOOGL,HCA,GOOGL,FRT,ALXN,CSCO,APD,CSCO,AAP,BKNG,BKR,BKR,VTR,MGM,GOOG
INTU,GOOG,HLT,GOOG,HCA,ALGN,ECL,ALK,ECL,AES,CI,BLL,BLL,,TRV,AMCR
MGM,AMCR,INTU,MO,HLT,ALLE,ENPH,ARE,ENPH,A,CSCO,BKNG,BKNG,,VTR,AAL
TRV,AAL,IVZ,AMCR,HOLX,LNT,FRT,ALXN,FRT,APD,ECL,COF,COF,,,APH
VTR,APH,MGM,AAL,INTU,GOOGL,HCA,ALGN,HIG,ALK,ENPH,CI,CCL,,,ADP
,ADP,TRV,AEP,IVZ,GOOG,HLT,ALLE,HCA,ALB,EL,CSCO,CI,,,AVY
,AVY,VTR,AMT,MGM,MO,HOLX,LNT,HLT,ARE,FRT,DFS,CSCO,,,BKR
,BKR,VIAC,ABC,MSFT,AMZN,INTU,ALL,HOLX,ALXN,HIG,ECL,CME,,,BLL
,BLL,,AMGN,PAYC,AMCR,IVZ,GOOGL,INTU,ALGN,HCA,ENPH,CVS,,,BKNG
,BAC,,APH,TRV,AEE,MGM,GOOG,IVZ,ALLE,HLT,EL,DFS,,,COF
,BIIB,,AOS,VTR,AAL,MSFT,MO,KMB,LNT,HOLX,FB,ECL,,,CAH
,BKNG,,ANET,VIAC,AEP,PAYC,AMZN,MTD,ALL,IBM,FRT,ENPH,,,CCL
,COF,,ADSK,,AMT,PEP,AMCR,MGM,GOOGL,INTU,HIG,EL,,,CI
,CAH,,ADP,,ABC,TRV,AEE,MSFT,GOOG,IVZ,HCA,FB,,,CSCO
,CCL,,AVY,,AME,UNP,AAL,NTRS,MO,KMB,HLT,FRT,,,CME
,CAT,,BKR,,AMGN,VTR,AEP,PAYC,AMZN,MTD,HOLX,HIG,,,STZ
,CNC,,BLL,,APH,VIAC,AMT,PEP,AMCR,MGM,IBM,HCA,,,CVS
,CVX,,BAC,,AOS,,AWK,PSX,AEE,MSFT,INTU,HLT,,,DLR
,CMG,,BIIB,,ANET,,AMP,TRV,AAL,NTRS,IVZ,HOLX,,,DFS
,CHD,,BA,,ADSK,,ABC,UNP,AEP,NCLH,IPGP,INCY,,,DPZ
,CI,,BKNG,,ADP,,AME,VTR,AMT,PAYC,K,IBM,,,DTE
,CSCO,,COF,,AZO,,AMGN,VIAC,AWK,PEP,KMB,INTU,,,ECL
,CME,,CAH,,AVY,,APH,WELL,AMP,PSX,KLAC,IVZ,,,ENPH
,STZ,,CCL,,BKR,,ADI,XLNX,ABC,SO,L,IPGP,,,EL
,GLW,,CAT,,BLL,,ANSS,,AME,TTWO,MTD,SJM,,,EXR
,CVS,,CE,,BAC,,AOS,,AMGN,TRV,MGM,K,,,FB
,DLR,,CNC,,BIIB,,AAPL,,APH,UNP,MSFT,KMB,,,FRT
,DFS,,CVX,,BA,,AMAT,,ADI,UPS,NTRS,KLAC,,,HIG
,DLTR,,CMG,,BKNG,,ANET,,ANSS,VTR,NCLH,LNC,,,HCA
,DPZ,,CHD,,BMY,,AJG,,ANTM,VIAC,ORLY,L,,,HLT
,DTE,,CI,,BR,,AIZ,,AON,WELL,PAYC,LYB,,,HOLX
,ECL,,CSCO,,COF,,T,,AOS,XLNX,PEP,MTD,,,INCY
,ENPH,,CLX,,CAH,,ATO,,AAPL,ZTS,PSX,MGM,,,IBM
,EQR,,CME,,CCL,,ADSK,,AMAT,,SO,MSFT,,,INTU
,EL,,CTSH,,CAT,,ADP,,ANET,,TTWO,NEE,,,IVZ
,RE,,STZ,,CE,,AZO,,AJG,,TRV,NSC,,,IPGP
,EXR,,GLW,,CNC,,AVB,,AIZ,,UNP,NTRS,,,SJM
,FB,,CCI,,CF,,AVY,,T,,UPS,NCLH,,,K
,FRT,,CVS,,CVX,,BKR,,ATO,,VTR,ORLY,,,KMB
,FIS,,DRI,,CMG,,BLL,,ADSK,,VIAC,PAYC,,,KLAC
,BEN,,DAL,,CHD,,BAC,,ADP,,WELL,PEP,,,LNC
,HIG,,XRAY,,CI,,BK,,AZO,,WST,PSX,,,L
,HAS,,DXCM,,CINF,,BIO,,AVB,,WHR,QRVO,,,LYB
,HCA,,DLR,,CSCO,,BIIB,,AVY,,XLNX,NOW,,,MXIM
,PEAK,,DFS,,CFG,,BA,,BKR,,ZTS,SHW,,,MCD
,HLT,,DISCA,,CLX,,BKNG,,BLL,,,SPG,,,MTD
,HOLX,,DLTR,,CME,,BMY,,BAC,,,SO,,,MGM
,INCY,,DPZ,,CTSH,,BR,,BK,,,TTWO,,,MSFT
,IBM,,DTE,,STZ,,CZR,,BIO,,,TPR,,,NEE
,INTU,,DRE,,GLW,,CPB,,BIIB,,,TT,,,NLSN
,IVZ,,DXC,,CTVA,,COF,,BLK,,,TRV,,,NSC
,IPGP,,ECL,,CCI,,CAH,,BA,,,UNP,,,NTRS
,SJM,,ENPH,,CVS,,CCL,,BKNG,,,UPS,,,NCLH
,K,,EQR,,DRI,,CAT,,BMY,,,UNM,,,ORLY
,KMB,,ESS,,DAL,,CBOE,,BR,,,VTR,,,PAYX
,KLAC,,EL,,XRAY,,CBRE,,CHRW,,,VRSK,,,PAYC
,LNC,,RE,,DXCM,,CE,,CZR,,,VIAC,,,PEP
,LIN,,EXR,,DLR,,CNC,,CPB,,,WELL,,,PM
,LMT,,XOM,,DFS,,CERN,,COF,,,WST,,,PSX
,L,,FB,,DISCA,,CF,,CAH,,,WHR,,,QRVO
,LUMN,,FRT,,DLTR,,CVX,,CCL,,,XLNX,,,SPGI
,LYB,,FIS,,D,,CMG,,CAT,,,ZTS,,,SRE
,MPC,,BEN,,DPZ,,CHD,,CBOE,,,,,,NOW
,MXIM,,GS,,DOW,,CI,,CBRE,,,,,,SHW
,MCD,,HIG,,DTE,,CINF,,CDW,,,,,,SPG
,MET,,HAS,,DRE,,CSCO,,CE,,,,,,SO
,MTD,,HCA,,DXC,,CFG,,CNC,,,,,,SBUX
,MGM,,PEAK,,ECL,,CTXS,,CERN,,,,,,TMUS
,MSFT,,HSIC,,EIX,,CLX,,CF,,,,,,TTWO
,MNST,,HPE,,ENPH,,CME,,SCHW,,,,,,TPR
,NWL,,HLT,,EOG,,CMS,,CHTR,,,,,,TT
,NEE,,HOLX,,EQR,,CTSH,,CVX,,,,,,TRV
,NLSN,,IEX,,ESS,,CMCSA,,CMG,,,,,,UNP
,NSC,,INCY,,EL,,COP,,CB,,,,,,UPS
,NTRS,,IBM,,RE,,ED,,CHD,,,,,,UNM
,NCLH,,INTU,,EXR,,STZ,,CI,,,,,,VTR
,ORLY,,IVZ,,XOM,,GLW,,CINF,,,,,,VRSK
,PAYX,,IPGP,,FB,,CTVA,,CTAS,,,,,,VIAC
,PAYC,,SJM,,FRT,,CCI,,CSCO,,,,,,WFC
,PEP,,JCI,,FIS,,CMI,,CFG,,,,,,WELL
,PM,,K,,FLT,,CVS,,CTXS,,,,,,WST
,PSX,,KMB,,FLIR,,DRI,,CLX,,,,,,WHR
,QRVO,,KLAC,,BEN,,DAL,,CME,,,,,,XLNX
,SPGI,,LNC,,GNRC,,XRAY,,CMS,,,,,,ZTS
,STX,,LIN,,GIS,,DXCM,,CTSH,,,,,,
,SRE,,LMT,,GL,,FANG,,CL,,,,,,
,NOW,,L,,GS,,DLR,,CMCSA,,,,,,
,SHW,,LUMN,,HAL,,DFS,,COP,,,,,,
,SPG,,LYB,,HIG,,DISCA,,ED,,,,,,
,SO,,MPC,,HAS,,DISCK,,STZ,,,,,,
,SBUX,,MMC,,HCA,,DLTR,,CPRT,,,,,,
,TMUS,,MXIM,,PEAK,,D,,GLW,,,,,,
,TTWO,,MCD,,HSIC,,DPZ,,CTVA,,,,,,
,TPR,,MET,,HPE,,DOW,,COST,,,,,,
,TT,,MTD,,HLT,,DTE,,CCI,,,,,,
,TRV,,MGM,,HOLX,,DUK,,CSX,,,,,,
,USB,,MCHP,,HII,,DRE,,CMI,,,,,,
,UNP,,MSFT,,IEX,,DXC,,CVS,,,,,,
,UPS,,MHK,,ILMN,,ECL,,DRI,,,,,,
,URI,,MNST,,INCY,,EIX,,DAL,,,,,,
,UNM,,NDAQ,,IBM,,ENPH,,XRAY,,,,,,
,VTR,,NWL,,INTU,,EOG,,DXCM,,,,,,
,VRSK,,NEE,,IVZ,,EQR,,FANG,,,,,,
