11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
,VIAC,,NLSN,,IPGP,,ESS,,DLR,,,,,,
,WRB,,NSC,,J,,EL,,DFS,,,,,,
,WM,,NTRS,,SJM,,RE,,DISCA,,,,,,
,WFC,,NCLH,,JCI,,EXR,,DISCK,,,,,,
,WELL,,ORLY,,K,,XOM,,DG,,,,,,
,WST,,PAYX,,KEYS,,FB,,DLTR,,,,,,
,WDC,,PAYC,,KMB,,FRT,,D,,,,,,
,WHR,,PEP,,KMI,,FIS,,DPZ,,,,,,
,XLNX,,PM,,KLAC,,FRC,,DOW,,,,,,
,ZBRA,,PSX,,LHX,,FLT,,DTE,,,,,,
,ZTS,,PNC,,LEN,,FLIR,,DUK,,,,,,
,,,PPL,,LNC,,FMC,,DRE,,,,,,
,,,PG,,LIN,,F,,DD,,,,,,
,,,PEG,,LMT,,BEN,,DXC,,,,,,
,,,PVH,,L,,GNRC,,ECL,,,,,,
,,,QRVO,,LUMN,,GD,,EIX,,,,,,
,,,RSG,,LYB,,GE,,ENPH,,,,,,
,,,SPGI,,MPC,,GIS,,EOG,,,,,,
,,,STX,,MMC,,GL,,EQR,,,,,,
,,,SRE,,MXIM,,GS,,ESS,,,,,,
,,,NOW,,MCD,,GWW,,EL,,,,,,
,,,SHW,,MCK,,HAL,,ETSY,,,,,,
,,,SPG,,MET,,HIG,,EVRG,,,,,,
,,,SO,,MTD,,HAS,,RE,,,,,,
,,,SBUX,,MGM,,HCA,,EXC,,,,,,
,,,TMUS,,MCHP,,PEAK,,EXPE,,,,,,
,,,TTWO,,MSFT,,HSIC,,EXPD,,,,,,
,,,TPR,,MHK,,HPE,,EXR,,,,,,
,,,TGT,,TAP,,HLT,,XOM,,,,,,
,,,TFX,,MNST,,HFC,,FB,,,,,,
,,,TT,,NDAQ,,HOLX,,FRT,,,,,,
,,,TRV,,NWL,,HST,,FDX,,,,,,
,,,USB,,NWSA,,HPQ,,FIS,,,,,,
,,,UNP,,NEE,,HII,,FITB,,,,,,
,,,UPS,,NLSN,,IEX,,FE,,,,,,
,,,URI,,NKE,,ILMN,,FRC,,,,,,
,,,UNM,,NI,,INCY,,FLT,,,,,,
,,,VTR,,NSC,,IR,,FLIR,,,,,,
,,,VRSK,,NTRS,,INTC,,FMC,,,,,,
,,,VIAC,,NLOK,,IBM,,F,,,,,,
,,,WRB,,NCLH,,INTU,,FTNT,,,,,,
,,,WM,,NRG,,IVZ,,BEN,,,,,,
,,,WFC,,NXPI,,IPGP,,GNRC,,,,,,
,,,WELL,,ORLY,,JKHY,,GD,,,,,,
,,,WST,,PAYX,,J,,GE,,,,,,
,,,WDC,,PAYC,,SJM,,GIS,,,,,,
,,,WHR,,PEP,,JCI,,GM,,,,,,
,,,XLNX,,PKI,,K,,GPC,,,,,,
,,,XYL,,PFE,,KEYS,,GL,,,,,,
,,,ZBRA,,PM,,KMB,,GPN,,,,,,
,,,ZTS,,PSX,,KMI,,GS,,,,,,
,,,,,PNC,,KLAC,,GWW,,,,,,
,,,,,PPG,,LHX,,HAL,,,,,,
,,,,,PPL,,LRCX,,HBI,,,,,,
,,,,,PG,,LDOS,,HIG,,,,,,
,,,,,PTC,,LEN,,HAS,,,,,,
,,,,,PEG,,LNC,,HCA,,,,,,
,,,,,PVH,,LIN,,PEAK,,,,,,
,,,,,QRVO,,LMT,,HSIC,,,,,,
,,,,,REG,,L,,HSY,,,,,,
,,,,,RSG,,LUMN,,HES,,,,,,
,,,,,ROK,,LYB,,HPE,,,,,,
,,,,,ROST,,MTB,,HLT,,,,,,
,,,,,SPGI,,MPC,,HFC,,,,,,
,,,,,STX,,MMC,,HOLX,,,,,,
,,,,,SRE,,MXIM,,HST,,,,,,
,,,,,NOW,,MCD,,HWM,,,,,,
,,,,,SHW,,MCK,,HPQ,,,,,,
,,,,,SPG,,MET,,HUM,,,,,,
,,,,,SO,,MTD,,HBAN,,,,,,
,,,,,SWK,,MGM,,HII,,,,,,
,,,,,SBUX,,MCHP,,IEX,,,,,,
,,,,,STT,,MU,,INFO,,,,,,
,,,,,SNPS,,MSFT,,ITW,,,,,,
,,,,,TMUS,,MHK,,ILMN,,,,,,
,,,,,TTWO,,TAP,,INCY,,,,,,
,,,,,TPR,,MNST,,IR,,,,,,
,,,,,TGT,,MOS,,INTC,,,,,,
,,,,,TFX,,MSI,,IBM,,,,,,
,,,,,TT,,NDAQ,,IFF,,,,,,
,,,,,TRV,,NWL,,INTU,,,,,,
,,,,,USB,,NWSA,,IVZ,,,,,,
,,,,,UNP,,NEE,,IPGP,,,,,,
,,,,,UPS,,NLSN,,IQV,,,,,,
,,,,,URI,,NKE,,JKHY,,,,,,
,,,,,UHS,,NI,,J,,,,,,
,,,,,UNM,,NSC,,SJM,,,,,,
,,,,,VTR,,NTRS,,JNJ,,,,,,
,,,,,VRSK,,NLOK,,JCI,,,,,,
,,,,,VIAC,,NCLH,,K,,,,,,
,,,,,VMC,,NOV,,KEY,,,,,,
,,,,,WRB,,NRG,,KEYS,,,,,,
,,,,,WM,,NXPI,,KMB,,,,,,
,,,,,WFC,,ORLY,,KIM,,,,,,
,,,,,WELL,,PKG,,KMI,,,,,,
,,,,,WST,,PAYX,,KLAC,,,,,,
,,,,,WDC,,PAYC,,KHC,,,,,,
,,,,,WHR,,PEP,,LB,,,,,,
,,,,,WMB,,PKI,,LHX,,,,,,
,,,,,XLNX,,PFE,,LRCX,,,,,,
,,,,,XYL,,PM,,LEG,,,,,,
,,,,,ZBRA,,PSX,,LDOS,,,,,,
,,,,,ZBH,,PXD,,LEN,,,,,,
,,,,,ZTS,,PNC,,LLY,,,,,,
,,,,,,,PPG,,LNC,,,,,,
,,,,,,,PPL,,LIN,,,,,,
,,,,,,,PFG,,LMT,,,,,,
,,,,,,,PG,,L,,,,,,
,,,,,,,PLD,,LUMN,,,,,,
,,,,,,,PTC,,LYB,,,,,,
,,,,,,,PEG,,MTB,,,,,,
,,,,,,,PVH,,MRO,,,,,,
,,,,,,,QRVO,,MPC,,,,,,
,,,,,,,PWR,,MKTX,,,,,,
,,,,,,,RTX,,MAR,,,,,,
,,,,,,,O,,MMC,,,,,,
,,,,,,,REG,,MXIM,,,,,,
,,,,,,,RSG,,MCD,,,,,,
,,,,,,,ROK,,MCK,,,,,,
,,,,,,,ROST,,MET,,,,,,
,,,,,,,RCL,,MTD,,,,,,
,,,,,,,SPGI,,MGM,,,,,,
,,,,,,,STX,,MCHP,,,,,,
,,,,,,,SRE,,MU,,,,,,
,,,,,,,NOW,,MSFT,,,,,,
,,,,,,,SHW,,MHK,,,,,,
,,,,,,,SPG,,TAP,,,,,,
,,,,,,,SO,,MNST,,,,,,
,,,,,,,SWK,,MOS,,,,,,
,,,,,,,SBUX,,MSI,,,,,,
,,,,,,,STT,,MSCI,,,,,,
,,,,,,,SIVB,,NDAQ,,,,,,
,,,,,,,SYF,,NTAP,,,,,,
,,,,,,,SNPS,,NWL,,,,,,
,,,,,,,SYY,,NEM,,,,,,
,,,,,,,TMUS,,NWSA,,,,,,
,,,,,,,TTWO,,NWS,,,,,,
,,,,,,,TPR,,NEE,,,,,,
,,,,,,,TGT,,NLSN,,,,,,
,,,,,,,TFX,,NKE,,,,,,
,,,,,,,TER,,NI,,,,,,
,,,,,,,TXT,,NSC,,,,,,
,,,,,,,TJX,,NTRS,,,,,,
,,,,,,,TT,,NLOK,,,,,,
,,,,,,,TRV,,NCLH,,,,,,
,,,,,,,TRMB,,NOV,,,,,,
,,,,,,,USB,,NRG,,,,,,
,,,,,,,UNP,,NVDA,,,,,,
,,,,,,,UPS,,NVR,,,,,,
,,,,,,,URI,,NXPI,,,,,,
,,,,,,,UHS,,ORLY,,,,,,
,,,,,,,UNM,,OXY,,,,,,
,,,,,,,VTR,,ODFL,,,,,,
,,,,,,,VRSK,,ORCL,,,,,,
,,,,,,,VFC,,PCAR,,,,,,
,,,,,,,VIAC,,PKG,,,,,,
,,,,,,,VTRS,,PAYX,,,,,,
,,,,,,,VMC,,PAYC,,,,,,
,,,,,,,WRB,,PENN,,,,,,
,,,,,,,WM,,PNR,,,,,,
,,,,,,,WFC,,PEP,,,,,,
,,,,,,,WELL,,PKI,,,,,,
,,,,,,,WST,,PRGO,,,,,,
,,,,,,,WDC,,PFE,,,,,,
,,,,,,,WRK,,PM,,,,,,
,,,,,,,WHR,,PSX,,,,,,
,,,,,,,WMB,,PXD,,,,,,
,,,,,,,WYNN,,PNC,,,,,,
,,,,,,,XEL,,PPG,,,,,,
,,,,,,,XLNX,,PPL,,,,,,
,,,,,,,XYL,,PFG,,,,,,
,,,,,,,ZBRA,,PG,,,,,,
,,,,,,,ZBH,,PGR,,,,,,
,,,,,,,ZION,,PLD,,,,,,
,,,,,,,ZTS,,PTC,,,,,,
,,,,,,,,,PEG,,,,,,
,,,,,,,,,PSA,,,,,,
,,,,,,,,,PVH,,,,,,
,,,,,,,,,QRVO,,,,,,
,,,,,,,,,PWR,,,,,,
,,,,,,,,,QCOM,,,,,,
,,,,,,,,,DGX,,,,,,
,,,,,,,,,RJF,,,,,,
,,,,,,,,,RTX,,,,,,
,,,,,,,,,O,,,,,,
,,,,,,,,,REG,,,,,,
,,,,,,,,,REGN,,,,,,
,,,,,,,,,RSG,,,,,,
,,,,,,,,,RMD,,,,,,
,,,,,,,,,ROK,,,,,,
,,,,,,,,,ROL,,,,,,
,,,,,,,,,ROP,,,,,,
,,,,,,,,,ROST,,,,,,
,,,,,,,,,RCL,,,,,,
,,,,,,,,,SPGI,,,,,,
,,,,,,,,,CRM,,,,,,
,,,,,,,,,SBAC,,,,,,
,,,,,,,,,SLB,,,,,,
,,,,,,,,,STX,,,,,,
,,,,,,,,,SEE,,,,,,
,,,,,,,,,SRE,,,,,,
,,,,,,,,,NOW,,,,,,
,,,,,,,,,SHW,,,,,,
,,,,,,,,,SPG,,,,,,
,,,,,,,,,SNA,,,,,,
,,,,,,,,,SO,,,,,,
,,,,,,,,,LUV,,,,,,
,,,,,,,,,SWK,,,,,,
,,,,,,,,,SBUX,,,,,,
,,,,,,,,,STT,,,,,,
,,,,,,,,,STE,,,,,,
,,,,,,,,,SIVB,,,,,,
,,,,,,,,,SYF,,,,,,
,,,,,,,,,SNPS,,,,,,
,,,,,,,,,SYY,,,,,,
,,,,,,,,,TMUS,,,,,,
,,,,,,,,,TTWO,,,,,,
,,,,,,,,,TPR,,,,,,
,,,,,,,,,TGT,,,,,,
,,,,,,,,,TEL,,,,,,
,,,,,,,,,TFX,,,,,,
,,,,,,,,,TER,,,,,,
,,,,,,,,,TSLA,,,,,,
,,,,,,,,,TXT,,,,,,
,,,,,,,,,TMO,,,,,,
,,,,,,,,,TJX,,,,,,
,,,,,,,,,TSCO,,,,,,
,,,,,,,,,TT,,,,,,
,,,,,,,,,TDG,,,,,,
,,,,,,,,,TRV,,,,,,
,,,,,,,,,TRMB,,,,,,
,,,,,,,,,TWTR,,,,,,
,,,,,,,,,TYL,,,,,,
,,,,,,,,,TSN,,,,,,
,,,,,,,,,UDR,,,,,,
,,,,,,,,,USB,,,,,,
,,,,,,,,,UAA,,,,,,
,,,,,,,,,UA,,,,,,
,,,,,,,,,UNP,,,,,,
,,,,,,,,,UAL,,,,,,
,,,,,,,,,UPS,,,,,,
,,,,,,,,,URI,,,,,,
,,,,,,,,,UHS,,,,,,
,,,,,,,,,UNM,,,,,,
,,,,,,,,,VTR,,,,,,
,,,,,,,,,VRSK,,,,,,
,,,,,,,,,VFC,,,,,,
,,,,,,,,,VIAC,,,,,,
,,,,,,,,,VTRS,,,,,,
,,,,,,,,,VMC,,,,,,
,,,,,,,,,WRB,,,,,,
,,,,,,,,,WM,,,,,,
,,,,,,,,,WAT,,,,,,
,,,,,,,,,WFC,,,,,,
,,,,,,,,,WELL,,,,,,
,,,,,,,,,WST,,,,,,
,,,,,,,,,WDC,,,,,,
,,,,,,,,,WRK,,,,,,
,,,,,,,,,WHR,,,,,,
,,,,,,,,,WMB,,,,,,
,,,,,,,,,WLTW,,,,,,
,,,,,,,,,WYNN,,,,,,
,,,,,,,,,XEL,,,,,,
,,,,,,,,,XLNX,,,,,,
,,,,,,,,,XYL,,,,,,
,,,,,,,,,ZBRA,,,,,,
,,,,,,,,,ZBH,,,,,,
,,,,,,,,,ZION,,,,,,
,,,,,,,,,ZTS,,,,,,
