11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
AMCR,ABMD,AMCR,ABMD,AMCR,ABBV,AMCR,MMM,ALGN,MMM,ALGN,ABMD,ABMD,CDW,AMCR,ABMD
CBOE,AFL,CBOE,ACN,CBOE,ABMD,CBOE,ABBV,AMCR,ABBV,AMCR,AFL,AFL,CMCSA,CDW,AFL
CDW,APD,CDW,ADBE,CDW,ACN,CDW,ABMD,ABC,ABMD,ABC,ALGN,ALGN,DXC,CMCSA,ALGN
CMCSA,ALGN,CMCSA,AFL,CMCSA,ATVI,CMCSA,ACN,APH,ACN,APH,AMCR,AMCR,HES,DXC,AMCR
DVA,AMCR,STZ,APD,COP,ADBE,COP,ATVI,AZO,ATVI,AZO,ABC,ABC,PH,HES,ABC
DXC,AMP,DVA,AKAM,STZ,AFL,STZ,ADBE,CBOE,ADBE,BXP,APH,APH,PBCT,PH,APH
HES,ABC,DXC,ALGN,DVA,APD,DVA,AMD,CDW,AMD,AVGO,ADP,ATO,TEL,PNR,ADI
PH,AME,HES,AMCR,DXC,AKAM,DXC,AFL,CMCSA,AAP,CBOE,AZO,ADP,,PBCT,ATO
PNR,AMGN,PH,AEE,GS,ALGN,EL,APD,COP,AES,CDW,BXP,AZO,,TEL,ADP
PBCT,APH,PNR,AMT,HES,LNT,FRC,AKAM,STZ,AFL,CMCSA,AVGO,BK,,,AZO
TEL,ADI,PBCT,AMP,OTIS,AMCR,GS,ALGN,DVA,APD,COP,CZR,BWA,,,BK
,ANTM,PXD,ABC,PH,AEE,HES,LNT,DXC,AKAM,STZ,CTLT,BXP,,,BWA
,ADM,TEL,AME,PNR,AMT,JNPR,MO,EL,ALK,DVA,CBOE,AVGO,,,BXP
,ATO,URI,AMGN,PBCT,AMP,MAA,AMCR,ETSY,ALXN,DVN,CDW,CZR,,,AVGO
,ADP,,APH,PXD,ABC,TAP,AEE,FRC,ALGN,DXCM,CMCSA,CTLT,,,CZR
,AZO,,ADI,PVH,AME,OTIS,AAL,GS,LNT,DXC,COP,CBOE,,,KMX
,BK,,ANTM,TEL,AMGN,PH,AXP,HES,ALL,EL,STZ,CDW,,,CTLT
,BWA,,APTV,URI,APH,PNR,AMT,JNPR,MO,ETSY,DVA,CMG,,,CBOE
,BXP,,ADM,,ADI,PBCT,AMP,MAA,AMCR,FRC,DVN,CMCSA,,,CDW
,AVGO,,AJG,,ANTM,PXD,ABC,TAP,AEE,GS,DXCM,COP,,,CMG
,CZR,,ATO,,AON,PVH,AME,OTIS,AAL,HES,DXC,STZ,,,CMCSA
,KMX,,ADSK,,APTV,TEL,AMGN,PH,AEP,HOLX,EL,GLW,,,COP
,CTLT,,ADP,,ADM,URI,APH,PNR,AXP,JNPR,ETSY,DRI,,,STZ
,CBOE,,AZO,,ANET,,ADI,PBCT,AIG,MAA,FRC,DVA,,,GLW
,CDW,,BK,,AJG,,ANTM,PEP,AMT,TAP,FLT,DVN,,,DRI
,CMG,,BWA,,ATO,,AON,PXD,AMP,OTIS,GS,DXCM,,,DVA
,C,,BXP,,ADSK,,APTV,PSA,ABC,PH,HES,DFS,,,DVN
,CMCSA,,BMY,,ADP,,ADM,PVH,AME,PNR,HOLX,DXC,,,DXCM
,COP,,AVGO,,AZO,,ANET,TEL,AMGN,PBCT,JNPR,ETN,,,DFS
,STZ,,CZR,,BK,,AJG,URI,APH,PEP,LEN,EL,,,DLTR
,GLW,,KMX,,BAX,,ATO,,ADI,PXD,L,ETSY,,,DXC
,DRI,,CTLT,,BKNG,,ADSK,,ANTM,PSA,MMC,FRC,,,ETN
,DVA,,CBOE,,BWA,,ADP,,AON,PVH,MA,FLT,,,EL
,DVN,,CDW,,BXP,,AZO,,AOS,TEL,MAA,F,,,ETSY
,DXCM,,CNP,,BMY,,BAC,,AMAT,TYL,TAP,FCX,,,EVRG
,DFS,,CF,,AVGO,,BK,,APTV,TSN,OTIS,IT,,,FFIV
,DLTR,,CHTR,,CZR,,BAX,,ADM,UAL,PH,GS,,,FRC
,DXC,,CMG,,COF,,BKNG,,ANET,URI,PNR,HES,,,FLT
,EMN,,CB,,KMX,,BWA,,AJG,WMB,PBCT,HOLX,,,F
,ETN,,C,,CTLT,,BXP,,T,,PEP,JNPR,,,FCX
,ECL,,CMCSA,,CAT,,BMY,,ATO,,PXD,LEN,,,IT
,EA,,COP,,CBOE,,AVGO,,ADSK,,PSA,L,,,GIS
,EL,,STZ,,CBRE,,BR,,ADP,,PVH,MMC,,,GS
,ETSY,,GLW,,CDW,,CZR,,AZO,,SBUX,MA,,,HES
,EVRG,,DRI,,CNC,,COF,,AVB,,TEL,MTD,,,HOLX
,RE,,DVA,,CNP,,KMX,,AVY,,TYL,MAA,,,IR
,FFIV,,DVN,,CF,,CTLT,,BKR,,TSN,TAP,,,IBM
,FAST,,DXCM,,CHTR,,CAT,,BLL,,UAL,MNST,,,JNPR
,FDX,,DFS,,CVX,,CBOE,,BAC,,UPS,NOC,,,LB
,FRC,,DLTR,,CMG,,CBRE,,BK,,URI,OTIS,,,LEN
,FLT,,D,,CB,,CDW,,BAX,,WMB,PH,,,L
,F,,DXC,,C,,CNC,,BDX,,,PNR,,,MMC
,FCX,,EMN,,CME,,CNP,,BKNG,,,PBCT,,,MA
,IT,,ETN,,CMCSA,,CF,,BWA,,,PEP,,,MTD
,GIS,,EBAY,,CMA,,CHTR,,BXP,,,PXD,,,MAA
,GL,,ECL,,COP,,CVX,,BMY,,,PSA,,,TAP
,GS,,EA,,ED,,CMG,,AVGO,,,PVH,,,MNST
,HES,,EL,,STZ,,CB,,BR,,,ROST,,,MOS
,HOLX,,ETSY,,GLW,,C,,CHRW,,,SBUX,,,NOC
,IR,,EVRG,,DRI,,CLX,,CZR,,,TEL,,,NVDA
,IBM,,RE,,DVA,,CME,,CPB,,,TDY,,,OTIS
