11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ABT,ABT,ABT,ABT,ABT,ABT,ABT,ABT,ABT,MMM,ABT,ABT,ABT,ABT,ABT,ABT
ARE,ABMD,AFL,ABMD,AFL,ABMD,AFL,ABMD,AFL,ABT,AMD,AMD,AMD,FAST,ARE,AMD
BK,AMD,ARE,AMD,ARE,AMD,ARE,ADBE,ARE,ABMD,AFL,AFL,AFL,HCA,FAST,AFL
FAST,AFL,BK,AFL,BK,AFL,ADP,AMD,ADP,ADBE,ARE,ARE,ARE,SJM,HCA,ARE
HCA,ARE,CHRW,ARE,CHRW,APD,BK,AFL,BK,AMD,ANTM,MO,GOOG,NXPI,SJM,GOOG
SJM,GOOG,FAST,ALXN,CMG,ALB,BWA,A,BWA,AAP,ADP,ANTM,MO,RF,NXPI,MO
NWSA,MO,GM,GOOG,FAST,ARE,CHRW,APD,CHRW,AES,BK,ADP,ANTM,WAT,RF,ANTM
NXPI,AMCR,HCA,MO,GM,ALXN,CMG,AKAM,CMG,AFL,BWA,BK,ADP,,UAL,AIZ
RF,ANTM,SJM,AMCR,HCA,GOOG,FAST,ALK,FAST,A,CHRW,BWA,BK,,WAT,ADP
UAL,AON,NWSA,AEE,SJM,MO,GM,ALB,GM,APD,CMG,CHRW,BWA,,,BK
WAT,AIZ,NXPI,AAL,LNC,AMZN,HCA,ARE,HCA,AKAM,CB,CDW,AVGO,,,BWA
,ADP,RF,AMT,NWSA,AMCR,SJM,ALXN,INTU,ALK,CSCO,CMG,CHRW,,,AVGO
,BK,UAL,AWK,NXPI,AEE,LNC,ALGN,IPGP,ALB,ES,CB,CDW,,,CHRW
,BDX,WAT,AMP,RF,AAL,NWSA,ALLE,SJM,ARE,FAST,CSCO,CMG,,,CDW
,BKNG,,ADI,TSLA,AEP,NXPI,LNT,LNC,ALXN,FTV,C,CB,,,CMG
,BWA,,ANTM,UAL,AMT,PEP,ALL,NWSA,ALGN,FCX,CME,CSCO,,,CB
,BSX,,AON,WAT,AWK,PG,GOOG,NEE,ALLE,GM,CL,C,,,CTAS
,AVGO,,AIZ,WY,AMP,RF,MO,NI,LNT,HCA,DOV,CME,,,CSCO
,CHRW,,ADP,,ADI,TSLA,AMZN,NSC,ALL,INTU,EMN,CL,,,C
,CDW,,BK,,ANTM,UAL,AMCR,NXPI,GOOGL,IPGP,ES,DVA,,,CME
,CMG,,BDX,,AON,VNO,AEE,PEP,GOOG,SJM,EXPD,DVN,,,CL
,CB,,BA,,AIZ,WAT,AAL,PG,MO,LVS,FAST,DISCK,,,DRI
,CTAS,,BKNG,,T,WY,AEP,PSA,AMZN,LNC,FTV,DPZ,,,DVA
,CSCO,,BWA,,ADSK,,AMT,RF,AMCR,NWSA,FCX,DOV,,,DVN
,C,,BSX,,ADP,,AWK,SIVB,AEE,NEE,GM,EMN,,,DISCK
,CME,,AVGO,,BK,,AMP,TSLA,AAL,NI,HCA,EBAY,,,DPZ
,CL,,CHRW,,BDX,,ADI,UAL,AEP,NSC,ICE,EA,,,DOV
,DHR,,CDNS,,BA,,ANTM,VNO,AMT,NXPI,INTU,ES,,,EMN
,DRI,,CAH,,BKNG,,AON,WAT,AWK,PEP,IPGP,EXPD,,,EBAY
,DVA,,CAT,,BWA,,APA,WY,AMP,PKI,SJM,FAST,,,ECL
,DVN,,CBOE,,BSX,,AAPL,,ABC,PG,LVS,FTV,,,EA
,DISCK,,CDW,,AVGO,,AMAT,,AME,PSA,LNC,FCX,,,ES
,DPZ,,CE,,CHRW,,ADM,,APH,RF,NWSA,IT,,,RE
,DOV,,CERN,,CDNS,,ANET,,ADI,SIVB,NEE,GM,,,EXPE
,EMN,,CVX,,CAH,,AJG,,ANSS,TSLA,NI,HCA,,,EXPD
,EBAY,,CMG,,CTLT,,AIZ,,ANTM,UAL,NSC,ICE,,,FAST
,ECL,,CB,,CAT,,T,,AON,VNO,NXPI,INTU,,,FISV
,EA,,CINF,,CBOE,,ADSK,,APA,WAT,PEP,IPGP,,,FMC
,EQIX,,CTAS,,CDW,,ADP,,AAPL,WY,PKI,SJM,,,FTV
,ES,,CSCO,,CE,,BK,,AMAT,,PRGO,LVS,,,FCX
,RE,,C,,CERN,,BAX,,APTV,,PG,LNC,,,IT
,EXPE,,CME,,CVX,,BDX,,ADM,,PRU,NWSA,,,GM
,EXPD,,CTSH,,CMG,,BA,,ANET,,PSA,NEE,,,HCA
,FAST,,CL,,CB,,BKNG,,AJG,,RF,NI,,,ICE
,FISV,,ED,,CINF,,BWA,,AIZ,,SIVB,NSC,,,INTU
,FMC,,GLW,,CTAS,,BXP,,T,,TFX,NXPI,,,IPGP
,FTV,,DHR,,CSCO,,BSX,,ADSK,,TSLA,OKE,,,SJM
,FBHS,,DRI,,C,,AVGO,,ADP,,UAL,PEP,,,LVS
,FOX,,DVA,,CME,,BR,,BK,,VNO,PKI,,,LNC
,FCX,,DVN,,CMS,,CHRW,,BAX,,WAT,PRGO,,,LMT
,IT,,DISCK,,KO,,CDNS,,BDX,,WY,PG,,,MSFT
,GM,,DPZ,,CTSH,,CAH,,BIIB,,,PRU,,,NWSA
,HCA,,DOV,,CL,,CTLT,,BA,,,PSA,,,NEE
,ICE,,DTE,,COP,,CAT,,BKNG,,,PWR,,,NI
,IFF,,EMN,,ED,,CBOE,,BWA,,,RJF,,,NSC
,INTU,,EBAY,,COO,,CDW,,BXP,,,REGN,,,NXPI
,IPGP,,ECL,,GLW,,CE,,BSX,,,RF,,,OKE
,SJM,,EA,,DHR,,CNP,,AVGO,,,SIVB,,,PAYC
,JCI,,EQIX,,DRI,,CERN,,BR,,,TEL,,,PYPL
,JPM,,ES,,DVA,,CVX,,CHRW,,,TFX,,,PEP
,KEYS,,RE,,DVN,,CMG,,CDNS,,,TSLA,,,PKI
,LVS,,EXPE,,DISCK,,CB,,CZR,,,ULTA,,,PRGO
,LNC,,EXPD,,DPZ,,CHD,,CPB,,,UAL,,,PG
,LIN,,FAST,,DOV,,CINF,,CAH,,,VNO,,,PRU
,LKQ,,FRT,,DTE,,CTAS,,CCL,,,DIS,,,PSA
,LMT,,FISV,,DXC,,CSCO,,CARR,,,WAT,,,PWR
,MSFT,,FMC,,EMN,,C,,CTLT,,,WST,,,RJF
,MAA,,FTV,,EBAY,,CFG,,CAT,,,WY,,,REGN
,TAP,,FBHS,,ECL,,CLX,,CBOE,,,,,,RF
,MNST,,FOX,,EA,,CME,,CDW,,,,,,RSG
,MOS,,FCX,,ENPH,,CMS,,CE,,,,,,RMD
,NWSA,,IT,,EOG,,KO,,CNP,,,,,,ROL
,NEE,,GNRC,,EFX,,CTSH,,CERN,,,,,,SPGI
,NI,,GIS,,EQIX,,CL,,CF,,,,,,SPG
,NSC,,GM,,ES,,COP,,CVX,,,,,,SIVB
,NXPI,,HAL,,RE,,ED,,CMG,,,,,,SNPS
,OKE,,HCA,,EXC,,COO,,CB,,,,,,TTWO
,OTIS,,HBAN,,EXPE,,CPRT,,CHD,,,,,,TEL
,PAYC,,INTC,,EXPD,,GLW,,CI,,,,,,TFX
,PYPL,,ICE,,FFIV,,DHR,,CINF,,,,,,TSLA
,PEP,,IFF,,FAST,,DRI,,CTAS,,,,,,ULTA
,PKI,,INTU,,FRT,,DVA,,CSCO,,,,,,UAL
,PRGO,,IPGP,,FRC,,DVN,,C,,,,,,UNM
,PG,,SJM,,FISV,,DXCM,,CFG,,,,,,VLO
,PRU,,JCI,,FMC,,DFS,,CTXS,,,,,,VTR
,PSA,,JPM,,FTV,,DISCK,,CLX,,,,,,VNO
,PHM,,KEYS,,FBHS,,D,,CME,,,,,,DIS
,PWR,,LRCX,,FOX,,DPZ,,CMS,,,,,,WAT
,RJF,,LVS,,FCX,,DOV,,KO,,,,,,WST
,REG,,LNC,,IT,,DTE,,CTSH,,,,,,WY
,REGN,,LIN,,GNRC,,DXC,,CL,,,,,,
,RF,,LKQ,,GIS,,EMN,,CMCSA,,,,,,
