11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
BK,ABT,BK,ABT,BK,ABT,AVY,MMM,AVY,MMM,ABT,ABT,ABT,BK,BK,ABT
BXP,ATVI,BXP,ATVI,BXP,ATVI,BK,ABT,BK,ABT,AMD,AMD,ATVI,CMS,CMS,ATVI
CMS,AMD,CMS,AMD,BSX,AMD,BXP,ABBV,BXP,ABBV,ARE,ARE,AMD,ETSY,ETSY,AMD
COST,ARE,COST,AAP,CMS,AAP,BSX,ATVI,BSX,ACN,AEP,AEP,ARE,MKC,GPS,ARE
ETSY,ALXN,CCI,ARE,COST,ARE,CMS,AMD,CAH,ATVI,AIG,AIG,ALXN,MS,HPE,ALXN
GPS,GOOGL,ETSY,ALXN,CCI,ALXN,COST,AAP,CMS,ADBE,AVY,AVY,AMZN,PTC,MKC,AMZN
HPE,AMZN,GPS,GOOGL,ETSY,ALL,CCI,ARE,KO,AMD,BK,BK,AEP,UNM,MS,AEP
MKC,AMCR,HPE,AMZN,GPS,GOOGL,ETSY,ALXN,COST,AAP,BXP,BXP,AIG,,PTC,AIG
MS,AEP,MKC,AMCR,HPE,AMZN,GPS,ALL,CCI,ALB,BSX,BSX,AVY,,UNM,T
PTC,AIG,MS,AAL,HLT,AMCR,GNRC,GOOGL,CMI,ARE,CAH,BMY,BK,,,ATO
UNM,ADI,MOS,AEP,MKC,AAL,HPE,AMZN,ETSY,ALXN,CMS,CAH,BXP,,,AZO
,AAPL,PTC,AIG,MS,AEP,HLT,AMCR,GPS,LNT,KO,CDW,BSX,,,AVY
,T,TGT,ABC,MOS,AIG,MKC,AAL,GNRC,ALL,COST,CMS,BMY,,,BK
,ATO,UNM,ADI,PTC,ABC,MS,AEP,HPE,GOOGL,CCI,KO,CAH,,,BXP
,AZO,,AAPL,TMUS,AME,MOS,AIG,HLT,AMZN,CMI,COST,KMX,,,BSX
,AVY,,T,TGT,ADI,MSI,AWK,HD,AMCR,CVS,CCI,CBRE,,,BMY
,BK,,ATO,UNM,ANSS,NFLX,ABC,INFO,AAL,EMR,CMI,CDW,,,CAH
,BKNG,,AZO,WST,ANTM,PTC,AME,KMB,AEP,ETSY,CVS,C,,,KMX
,BXP,,AVY,,AAPL,TMUS,APH,MKC,AXP,GPS,EMR,CMS,,,CBRE
,BSX,,BK,,ADM,TGT,ADI,MS,AIG,GNRC,ETSY,KO,,,CDW
,BMY,,BDX,,T,TJX,ANSS,MOS,AWK,HAS,GPS,COST,,,CNC
,CAH,,BBY,,ATO,UNM,ANTM,MSI,ABC,HPE,GNRC,CCI,,,C
,KMX,,BIO,,ADP,WST,AOS,NFLX,AME,HLT,HAS,CMI,,,CMS
,CBRE,,BIIB,,AZO,,AAPL,PENN,APH,HD,HPE,CVS,,,KO
,CDW,,BKNG,,AVY,,ADM,PTC,ADI,INFO,HLT,DTE,,,COP
,CNC,,BXP,,BAC,,AIZ,TMUS,ANSS,KMB,HOLX,EMR,,,COST
,CHTR,,BSX,,BK,,T,TGT,ANTM,MKC,HD,ETSY,,,CCI
,CVX,,BMY,,BDX,,ATO,TJX,AOS,MS,HPQ,ES,,,CMI
,C,,CAH,,BBY,,ADP,UNM,AAPL,MOS,INFO,GPS,,,CVS
,CMS,,KMX,,BIO,,AZO,WST,APTV,MSI,ISRG,GNRC,,,DE
,KO,,CAT,,BIIB,,AVB,,ADM,NFLX,IPGP,GILD,,,DTE
,COP,,CBRE,,BA,,AVY,,ANET,PENN,JKHY,HAS,,,EMR
