11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
SCHW,AMD,AEP,AMD,AEP,ATVI,AEP,MMM,AEP,MMM,ALK,ALK,AMD,CVX,CVX,AMD
CVX,AAP,SCHW,AAP,SCHW,ADBE,SCHW,ABBV,SCHW,ABBV,AEP,AEP,ALK,COO,COO,AAP
COO,ALK,CVX,APD,CVX,AMD,CVX,ATVI,CVX,ATVI,ADM,ADM,ALLE,DISCK,DISCK,ALK
DISCK,ALLE,COO,ALK,COO,AAP,COO,ADBE,COO,ADBE,CF,CARR,AEP,INCY,EQR,ALLE
EQR,ALL,DISCK,ALXN,DRI,APD,DRI,AMD,DRI,AMD,SCHW,CTLT,AXP,PNW,INCY,ALL
INCY,AEP,EQR,ALLE,DISCK,AKAM,DISCK,AAP,DISCK,AAP,CVX,CF,ADM,SNPS,ORCL,AEP
ORCL,AXP,INCY,ALL,EW,ALK,EW,AFL,EW,AES,CINF,SCHW,BDX,WYNN,PNW,AXP
PNW,ABC,MCHP,AEP,EQR,ARE,EQR,APD,EQR,AFL,COO,CVX,CARR,,SNPS,ADM
SPG,ADM,MSCI,AXP,INCY,ALXN,FBHS,AKAM,FBHS,A,DRI,CINF,CTLT,,WYNN,BDX
SNPS,BDX,ORCL,AMT,MCHP,ALLE,INCY,ALK,HAL,APD,DISCK,COO,CF,,,BKNG
WYNN,BKNG,PNW,ABC,MSCI,ALL,LYV,ARE,HES,AKAM,DISH,DRI,SCHW,,,CAH
,CAH,SPG,AMAT,ORCL,AEP,MCHP,ALXN,INCY,ALK,DRE,DISCK,CVX,,,CARR
,CARR,SNPS,ADM,PNW,AXP,MSCI,ALLE,KR,ARE,EW,DISH,CINF,,,CTLT
,CTLT,WYNN,ANET,PWR,AMT,ORCL,ALL,LYV,ALXN,EQR,D,KO,,,CF
,CF,,T,SPG,ABC,PNW,GOOGL,MCHP,ALLE,FMC,DRE,COO,,,SCHW
,SCHW,,ATO,SNPS,AME,PWR,AMZN,MSCI,LNT,FBHS,EW,DRI,,,CVX
,CHTR,,ADSK,WST,AMAT,STX,AMCR,ORCL,ALL,GNRC,EQR,DISCK,,,CINF
,CVX,,BDX,WYNN,ADM,SPG,AAL,PBCT,GOOGL,HAL,FMC,DISH,,,KO
,CINF,,BKNG,,ANET,SNPS,AEP,PNW,GOOG,HES,F,D,,,COO
,KO,,BWA,,T,VRSN,AXP,PTC,AMZN,INCY,FBHS,DRE,,,DRI
,COO,,CAH,,ATO,WST,AMT,PWR,AMCR,KR,FOXA,EW,,,DISCK
,CPRT,,CARR,,ADSK,WYNN,ABC,O,AAL,LYV,GNRC,EQR,,,DISH
,DRI,,CTLT,,AZO,XLNX,AME,CRM,AEP,MCHP,HAL,EXPD,,,D
,DISCK,,CERN,,BDX,,ANSS,STX,AXP,MSCI,HES,FDX,,,DRE
,DISH,,CF,,BKNG,,AMAT,SPG,AIG,ORCL,HD,FIS,,,ECL
,D,,SCHW,,BWA,,ADM,SNPS,AMT,PBCT,INCY,FMC,,,EW
,DRE,,CHTR,,CAH,,ANET,VRSN,AWK,PNW,KR,F,,,EQR
,ECL,,CVX,,CCL,,T,WST,AMP,PPL,LIN,FBHS,,,EXPD
,EW,,CINF,,CARR,,ATO,WYNN,ABC,PTC,LYV,FOXA,,,FDX
,EQR,,KO,,CTLT,,ADSK,XLNX,AME,PWR,MCHP,IT,,,FIS
,EXPD,,CL,,CERN,,ADP,,AMGN,O,MSCI,GNRC,,,FMC
,FFIV,,COO,,CF,,AZO,,APH,CRM,OKE,HAL,,,F
,FDX,,CPRT,,SCHW,,BDX,,ADI,STX,ORCL,HES,,,FBHS
,FIS,,GLW,,CHTR,,BIIB,,ANSS,SPG,PYPL,HD,,,FOXA
,FMC,,DRI,,CVX,,BKNG,,AMAT,SNPS,PBCT,INCY,,,FOX
,F,,DISCA,,CINF,,BWA,,APTV,VRSN,PNW,KMB,,,IT
,FBHS,,DISCK,,CTXS,,BXP,,ADM,WST,PPL,KR,,,GNRC
,FOXA,,DISH,,CLX,,BMY,,ANET,WYNN,PTC,LIN,,,GPN
,FOX,,D,,KO,,AVGO,,AJG,XLNX,PWR,LYV,,,HAL
,IT,,DPZ,,CL,,COG,,AIZ,,RTX,MMC,,,HBI
,GNRC,,DRE,,CMCSA,,CDNS,,T,,O,MLM,,,HES
,GIS,,ECL,,CMA,,CZR,,ATO,,CRM,MCHP,,,HD
,GPN,,EW,,CAG,,CPB,,ADSK,,STX,MDLZ,,,INCY
,HAL,,EQR,,STZ,,CAH,,ADP,,SPG,MSCI,,,IVZ
,HBI,,EXPD,,COO,,CCL,,AZO,,SYF,OKE,,,SJM
,PEAK,,FFIV,,CPRT,,CARR,,BAX,,SNPS,ORCL,,,KMB
,HES,,FDX,,GLW,,CTLT,,BDX,,ULTA,PYPL,,,KR
,HD,,FIS,,DRI,,CBOE,,BIIB,,VRSN,PBCT,,,LIN
,INCY,,FMC,,DE,,CERN,,BA,,WST,PNW,,,LYV
,IVZ,,F,,DXCM,,CF,,BKNG,,WYNN,PPL,,,MRO
,IRM,,FBHS,,DISCA,,SCHW,,BWA,,XLNX,PTC,,,MMC
,SJM,,FOXA,,DISCK,,CHTR,,BXP,,,PWR,,,MLM
,KEY,,FOX,,DISH,,CVX,,BSX,,,RTX,,,MCHP
,KMB,,BEN,,DLTR,,CINF,,BMY,,,O,,,MSFT
,KR,,IT,,D,,CFG,,AVGO,,,CRM,,,MDLZ
,LRCX,,GNRC,,DPZ,,CTXS,,CHRW,,,SLB,,,MSCI
,LIN,,GD,,DRE,,CLX,,COG,,,STX,,,NWL
,LYV,,GE,,DD,,CME,,CDNS,,,SHW,,,NWS
,MRO,,GIS,,ECL,,KO,,CZR,,,SPG,,,NTRS
,MMC,,GPN,,EW,,CL,,CPB,,,SWK,,,OKE
,MLM,,HAL,,EQR,,CMCSA,,CAH,,,SYF,,,ORCL
,MCK,,HBI,,ESS,,CMA,,CCL,,,SNPS,,,PYPL
,MCHP,,PEAK,,EL,,CAG,,CARR,,,ULTA,,,PBCT
