11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
SCHW,ABMD,ACN,ABMD,ACN,ABMD,ABMD,ABMD,ABMD,ABMD,ABMD,ABMD,ABMD,SCHW,SCHW,ABMD
CVX,ACN,SCHW,ACN,AEE,ACN,ACN,ACN,ACN,ACN,ACN,ACN,ACN,CVX,CVX,ACN
CVS,ATVI,CVX,ATVI,BWA,ATVI,AEE,ATVI,ALK,ATVI,ALK,ATVI,ATVI,HCA,HCA,ATVI
FDX,ADBE,CVS,ADBE,SCHW,ADBE,BWA,ADBE,AEE,ADBE,AEE,ALK,ALK,LHX,LHX,ADBE
HCA,ALK,FDX,ALK,CVX,AKAM,SCHW,APD,BWA,AMD,ANTM,AEE,AEE,NXPI,MAR,ALK
LHX,AEE,HCA,GOOGL,CVS,ALK,CVX,AKAM,SCHW,AAP,BWA,ANTM,ANTM,DIS,NXPI,AEE
MAR,AEP,KMB,AEE,FDX,ALXN,CAG,ALK,CVX,AES,SCHW,AVB,AVB,WST,DIS,ANTM
NXPI,AMT,LHX,AAL,HCA,GOOGL,CVS,ALXN,CAG,AFL,CVX,BWA,BWA,,WEC,AVB
DIS,APH,MTB,AEP,KMB,AEE,DXCM,GOOGL,CVS,A,CFG,SCHW,SCHW,,WST,BKNG
WEC,ANTM,MAR,AMT,LHX,AAL,FDX,MO,DXCM,APD,CAG,CVX,CVX,,,BWA
WST,AVB,NXPI,AMGN,MTB,AEP,GM,AEE,FDX,AKAM,CCI,CFG,CFG,,,SCHW
,BBY,DIS,APH,MAR,AMT,HCA,AAL,GM,ALK,CVS,CAG,CLX,,,CVX
,BKNG,WEC,ANTM,NXPI,AMGN,HUM,AEP,HCA,ALB,DXCM,CCI,CTSH,,,CFG
,BWA,WST,AAPL,NOW,APH,KMB,AMT,HUM,ALXN,FDX,CVS,CAG,,,CLX
,BSX,,ADM,VTRS,ANTM,LHX,AMGN,KMB,ALGN,GM,DXCM,CCI,,,CTSH
,CAH,,AIZ,DIS,AAPL,MTB,APH,LHX,LNT,HCA,FDX,CSX,,,CAG
,SCHW,,AVB,WEC,APTV,MAR,ANTM,MTB,ALL,HUM,FMC,CVS,,,CCI
,CVX,,BBY,WST,ADM,NXPI,AON,MAR,GOOGL,JKHY,GM,DXCM,,,CSX
,CFG,,BIO,,ANET,NOW,AAPL,MCD,MO,K,HCA,XOM,,,CMI
,CLX,,BKNG,,AIZ,VTRS,AMAT,MDLZ,AEE,KMB,HUM,FDX,,,CVS
,CTSH,,BWA,,AVB,DIS,APTV,MPWR,AAL,LHX,JKHY,FMC,,,DXCM
,CAG,,BSX,,BBY,WEC,ADM,NOV,AEP,MTB,K,GM,,,XOM
,CCI,,BMY,,BIO,WST,ANET,NXPI,AIG,MAR,KMB,GILD,,,FDX
,CSX,,AVGO,,BKNG,,AJG,ORLY,AMT,MCD,LHX,HCA,,,FMC
,CMI,,CHRW,,BWA,,AIZ,PNC,ABC,MDLZ,LOW,HUM,,,GPS
,CVS,,CPB,,BSX,,T,NOW,AME,MPWR,MTB,JKHY,,,GE
,DXCM,,CAH,,BMY,,ATO,VTRS,AMGN,NOV,MAR,J,,,GM
,DLR,,KMX,,AVGO,,ADP,DIS,APH,NXPI,MCD,K,,,GILD
,EOG,,SCHW,,CHRW,,AVB,WEC,ANSS,ORLY,MAA,KMB,,,HCA
,XOM,,CVX,,CPB,,BBY,WST,ANTM,PNC,MDLZ,KIM,,,HRL
,FB,,CFG,,COF,,BIO,,AON,NOW,MPWR,KMI,,,HUM
,FDX,,CLX,,CAH,,BIIB,,APA,SPG,MS,LB,,,JKHY
,FMC,,KO,,KMX,,BLK,,AAPL,TER,NTAP,LHX,,,J
,GPS,,CTSH,,SCHW,,BA,,AMAT,UHS,NEE,LOW,,,JNJ
,GE,,CAG,,CVX,,BKNG,,APTV,VTRS,NLSN,MTB,,,KSU
,GM,,CTVA,,CB,,BWA,,ADM,DIS,NOV,MAR,,,K
,GILD,,CCI,,CINF,,BXP,,ANET,WEC,NXPI,MCD,,,KMB
,HAS,,CSX,,C,,BSX,,AJG,WST,ORLY,MDT,,,KIM
,HCA,,CMI,,CFG,,BMY,,AIZ,ZTS,PSX,MET,,,KMI
,HRL,,CVS,,CLX,,AVGO,,T,,PNC,MAA,,,LB
,HUM,,DE,,CME,,CHRW,,ATO,,POOL,MDLZ,,,LHX
,IBM,,DXCM,,KO,,CPB,,ADSK,,NOW,MPWR,,,L
,JKHY,,DLR,,CTSH,,COF,,ADP,,SPG,MS,,,LOW
,J,,EOG,,CAG,,CAH,,AZO,,TER,NTAP,,,MTB
,JNJ,,EL,,CPRT,,KMX,,AVB,,UHS,NEE,,,MRO
,KSU,,EXR,,CTVA,,CDW,,BKR,,VTRS,NLSN,,,MPC
,K,,XOM,,CCI,,CE,,BLL,,WMT,NOV,,,MAR
,KMB,,FB,,CSX,,CNC,,BAX,,DIS,NXPI,,,MCD
,KIM,,FRT,,CMI,,CF,,BBY,,WEC,ORLY,,,MDT
,KMI,,FDX,,CVS,,SCHW,,BIO,,WST,PENN,,,MET
,KHC,,FMC,,DVA,,CVX,,BIIB,,ZTS,PSX,,,MAA
,LB,,GPS,,DE,,CB,,BLK,,,PNC,,,MDLZ
,LHX,,GE,,DXCM,,CINF,,BA,,,POOL,,,MPWR
,L,,GM,,DLR,,CTAS,,BKNG,,,NOW,,,MS
,LOW,,GILD,,DFS,,C,,BWA,,,SHW,,,NTAP
,MTB,,HAS,,DISCK,,CFG,,BXP,,,SPG,,,NEE
,MRO,,HCA,,DG,,CTXS,,BSX,,,TER,,,NLSN
,MPC,,HFC,,DOV,,CLX,,BMY,,,UDR,,,NCLH
,MAR,,HRL,,DOW,,CME,,AVGO,,,ULTA,,,NOV
,MLM,,HWM,,DRE,,KO,,CHRW,,,UAA,,,NRG
,MA,,HUM,,DXC,,CTSH,,CZR,,,UHS,,,NXPI
,MCD,,IBM,,ETN,,CAG,,CPB,,,VTRS,,,ORLY
,MDT,,INTU,,EMR,,CPRT,,COF,,,WMT,,,PENN
,MET,,ISRG,,ETR,,CTVA,,CAH,,,DIS,,,PKI
,MGM,,JKHY,,EOG,,CCI,,KMX,,,WEC,,,PSX
,MAA,,J,,ESS,,CSX,,CCL,,,WST,,,PNC
,MDLZ,,JNJ,,EL,,CMI,,CAT,,,WMB,,,POOL
,MPWR,,JNPR,,ETSY,,CVS,,CBOE,,,ZTS,,,RF
,MS,,KSU,,ES,,DVA,,CDW,,,,,,ROP
,NTAP,,K,,EXPE,,DE,,CE,,,,,,CRM
,NEE,,KMB,,EXR,,DAL,,CNC,,,,,,SEE
,NLSN,,KIM,,XOM,,DVN,,CNP,,,,,,NOW
,NI,,KMI,,FB,,DXCM,,CF,,,,,,SHW
,NCLH,,KHC,,FRT,,DLR,,SCHW,,,,,,SPG
,NOV,,LB,,FDX,,DFS,,CHTR,,,,,,LUV
,NRG,,LHX,,FLIR,,DISCA,,CVX,,,,,,STE
,NXPI,,LH,,FMC,,DISCK,,CMG,,,,,,TER
,ORLY,,LEN,,BEN,,DG,,CB,,,,,,UDR
,OXY,,LIN,,FCX,,DOV,,CI,,,,,,ULTA
,ODFL,,L,,GPS,,DOW,,CINF,,,,,,UAA
,ORCL,,LOW,,GE,,DRE,,CTAS,,,,,,UHS
,PENN,,MTB,,GM,,DD,,CSCO,,,,,,UNM
,PKI,,MRO,,GILD,,DXC,,C,,,,,,VTRS
,PSX,,MPC,,GWW,,ETN,,CFG,,,,,,WMT
,PNC,,MKTX,,HAS,,EBAY,,CTXS,,,,,,DIS
,POOL,,MAR,,HCA,,EA,,CLX,,,,,,WEC
,PPL,,MLM,,HLT,,EMR,,CME,,,,,,WST
,PRU,,MA,,HFC,,ETR,,KO,,,,,,WMB
,PVH,,MKC,,HRL,,EOG,,CTSH,,,,,,ZBH
,RL,,MCD,,HWM,,ESS,,CMCSA,,,,,,ZTS
,REGN,,MDT,,HUM,,EL,,CAG,,,,,,
,RF,,MET,,IBM,,ETSY,,COO,,,,,,
,ROP,,MGM,,INTU,,EVRG,,CPRT,,,,,,
,RCL,,MAA,,ISRG,,ES,,CTVA,,,,,,
,CRM,,MHK,,IRM,,EXPE,,COST,,,,,,
,SEE,,MDLZ,,JKHY,,EXPD,,CCI,,,,,,
,NOW,,MPWR,,J,,EXR,,CSX,,,,,,
,SHW,,MNST,,JNJ,,XOM,,CMI,,,,,,
,SPG,,MCO,,JNPR,,FB,,CVS,,,,,,
,SWKS,,MS,,KSU,,FRT,,DVA,,,,,,
,SO,,NTAP,,K,,FDX,,DE,,,,,,
,LUV,,NFLX,,KMB,,FIS,,DAL,,,,,,
,STE,,NWSA,,KIM,,FLIR,,DVN,,,,,,
,TER,,NEE,,KMI,,FMC,,DXCM,,,,,,
,UDR,,NLSN,,KLAC,,F,,FANG,,,,,,
,ULTA,,NI,,KHC,,FTNT,,DLR,,,,,,
,UAA,,NCLH,,KR,,FTV,,DFS,,,,,,
,UNP,,NOV,,LB,,BEN,,DISCA,,,,,,
,UHS,,NRG,,LHX,,FCX,,DISCK,,,,,,
,UNM,,NVR,,LH,,GPS,,DISH,,,,,,
,VTRS,,NXPI,,LEN,,GE,,DG,,,,,,
,WMT,,ORLY,,LLY,,GM,,D,,,,,,
,DIS,,OXY,,LNC,,GILD,,DOV,,,,,,
,WEC,,ODFL,,LIN,,GS,,DOW,,,,,,
,WST,,ORCL,,L,,GWW,,DTE,,,,,,
,WDC,,PENN,,LOW,,HIG,,DUK,,,,,,
,WU,,PKI,,MTB,,HAS,,DRE,,,,,,
,WMB,,PSX,,MRO,,HCA,,DD,,,,,,
,ZBH,,PNC,,MPC,,HSIC,,DXC,,,,,,
,ZTS,,POOL,,MKTX,,HLT,,ETN,,,,,,
,,,PPL,,MAR,,HFC,,EBAY,,,,,,
,,,PRU,,MLM,,HON,,EA,,,,,,
,,,PVH,,MAS,,HRL,,EMR,,,,,,
,,,PWR,,MA,,HWM,,ETR,,,,,,
,,,RL,,MKC,,HUM,,EOG,,,,,,
,,,REGN,,MCD,,IR,,EQIX,,,,,,
,,,RF,,MDT,,IBM,,EQR,,,,,,
,,,ROK,,MRK,,IFF,,ESS,,,,,,
,,,ROP,,MET,,INTU,,EL,,,,,,
,,,RCL,,MTD,,ISRG,,ETSY,,,,,,
,,,CRM,,MGM,,IVZ,,EVRG,,,,,,
,,,SBAC,,MAA,,IQV,,ES,,,,,,
,,,STX,,MHK,,IRM,,RE,,,,,,
,,,SEE,,MDLZ,,JKHY,,EXC,,,,,,
,,,NOW,,MPWR,,J,,EXPE,,,,,,
,,,SHW,,MNST,,JNJ,,EXPD,,,,,,
,,,SPG,,MCO,,JNPR,,EXR,,,,,,
,,,SWKS,,MS,,KSU,,XOM,,,,,,
,,,SO,,NTAP,,K,,FB,,,,,,
,,,LUV,,NFLX,,KEY,,FRT,,,,,,
,,,STE,,NWSA,,KMB,,FDX,,,,,,
,,,TER,,NWS,,KIM,,FIS,,,,,,
,,,UDR,,NEE,,KMI,,FLIR,,,,,,
,,,ULTA,,NLSN,,KLAC,,FMC,,,,,,
,,,UAA,,NI,,KHC,,F,,,,,,
,,,UNP,,NCLH,,KR,,FTNT,,,,,,
,,,UHS,,NOV,,LB,,FTV,,,,,,
,,,UNM,,NRG,,LHX,,FOXA,,,,,,
,,,VLO,,NVR,,LH,,FOX,,,,,,
,,,VTRS,,NXPI,,LDOS,,BEN,,,,,,
,,,WMT,,ORLY,,LEN,,FCX,,,,,,
,,,DIS,,OXY,,LLY,,GPS,,,,,,
,,,WAT,,ODFL,,LNC,,GRMN,,,,,,
,,,WEC,,ORCL,,LIN,,IT,,,,,,
,,,WST,,PENN,,L,,GD,,,,,,
,,,WDC,,PKI,,LOW,,GE,,,,,,
,,,WU,,PSX,,MTB,,GM,,,,,,
,,,WMB,,PNC,,MRO,,GILD,,,,,,
,,,ZBH,,POOL,,MPC,,GS,,,,,,
,,,ZTS,,PPL,,MKTX,,GWW,,,,,,
,,,,,PFG,,MAR,,HIG,,,,,,
,,,,,PGR,,MLM,,HAS,,,,,,
,,,,,PRU,,MAS,,HCA,,,,,,
,,,,,PHM,,MA,,HSIC,,,,,,
,,,,,PVH,,MKC,,HSY,,,,,,
,,,,,QRVO,,MXIM,,HPE,,,,,,
,,,,,PWR,,MCD,,HLT,,,,,,
,,,,,RL,,MDT,,HFC,,,,,,
,,,,,REGN,,MRK,,HON,,,,,,
,,,,,RF,,MET,,HRL,,,,,,
,,,,,RMD,,MTD,,HWM,,,,,,
,,,,,RHI,,MGM,,HUM,,,,,,
,,,,,ROK,,MCHP,,IEX,,,,,,
,,,,,ROP,,MAA,,IR,,,,,,
,,,,,ROST,,MHK,,IBM,,,,,,
,,,,,RCL,,MDLZ,,IP,,,,,,
,,,,,CRM,,MPWR,,IPG,,,,,,
,,,,,SBAC,,MNST,,IFF,,,,,,
,,,,,STX,,MCO,,INTU,,,,,,
,,,,,SEE,,MS,,ISRG,,,,,,
,,,,,SRE,,NTAP,,IVZ,,,,,,
,,,,,NOW,,NFLX,,IPGP,,,,,,
,,,,,SHW,,NWL,,IQV,,,,,,
,,,,,SPG,,NWSA,,IRM,,,,,,
,,,,,SWKS,,NWS,,JKHY,,,,,,
,,,,,SO,,NEE,,J,,,,,,
,,,,,LUV,,NLSN,,SJM,,,,,,
,,,,,STE,,NKE,,JNJ,,,,,,
,,,,,SYF,,NI,,JPM,,,,,,
,,,,,TER,,NCLH,,JNPR,,,,,,
,,,,,TSCO,,NOV,,KSU,,,,,,
,,,,,TWTR,,NRG,,K,,,,,,
,,,,,UDR,,NVR,,KEY,,,,,,
,,,,,ULTA,,NXPI,,KMB,,,,,,
,,,,,UAA,,ORLY,,KIM,,,,,,
,,,,,UNP,,OXY,,KMI,,,,,,
,,,,,UHS,,ODFL,,KLAC,,,,,,
,,,,,UNM,,OMC,,KHC,,,,,,
,,,,,VLO,,ORCL,,KR,,,,,,
,,,,,VZ,,PYPL,,LB,,,,,,
,,,,,VFC,,PENN,,LHX,,,,,,
,,,,,VIAC,,PEP,,LH,,,,,,
,,,,,VTRS,,PKI,,LVS,,,,,,
,,,,,WMT,,PRGO,,LEG,,,,,,
,,,,,DIS,,PSX,,LDOS,,,,,,
,,,,,WAT,,PNC,,LEN,,,,,,
,,,,,WEC,,POOL,,LLY,,,,,,
,,,,,WST,,PPL,,LNC,,,,,,
,,,,,WDC,,PFG,,LIN,,,,,,
,,,,,WU,,PGR,,LYV,,,,,,
,,,,,WMB,,PRU,,LKQ,,,,,,
,,,,,ZBH,,PSA,,LMT,,,,,,
,,,,,ZTS,,PHM,,L,,,,,,
,,,,,,,PVH,,LOW,,,,,,
,,,,,,,QRVO,,MTB,,,,,,
,,,,,,,PWR,,MRO,,,,,,
,,,,,,,DGX,,MPC,,,,,,
,,,,,,,RL,,MKTX,,,,,,
,,,,,,,RJF,,MAR,,,,,,
,,,,,,,REGN,,MLM,,,,,,
,,,,,,,RF,,MAS,,,,,,
,,,,,,,RSG,,MA,,,,,,
,,,,,,,RMD,,MKC,,,,,,
,,,,,,,RHI,,MXIM,,,,,,
