11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,AES,AES,ABBV
AMD,ADBE,AMD,ADBE,AMD,ADBE,AMD,ACN,AMD,ACN,AMD,AMD,AMD,AXP,AXP,AMD
AES,AMD,AES,AMD,AES,AMD,AES,ADBE,AES,ADBE,AES,AES,AES,CAH,CAH,AES
AXP,AES,AXP,AES,AXP,AAP,AXP,AMD,AXP,AMD,AXP,ARE,A,XRAY,CINF,A
CAH,AFL,AJG,AFL,AJG,AES,AJG,AAP,AWK,AAP,AWK,AXP,ARE,FTV,XRAY,ARE
CINF,A,AVB,A,AVB,AFL,AVB,AES,AJG,AES,ADM,AWK,AAL,PFE,FIS,LNT
XRAY,AKAM,CAH,AKAM,CAH,A,CAH,AFL,AVB,AFL,AJG,ADM,AXP,RL,FTV,AMCR
FIS,ARE,CINF,ARE,CINF,AKAM,CCL,A,CAH,A,AVB,AJG,AWK,,PFE,AAL
FTV,LNT,XRAY,ALGN,XRAY,ALB,CINF,AKAM,CCL,AKAM,COF,AVB,ADM,,RL,AXP
PFE,MO,EA,LNT,EA,ARE,XRAY,ALB,CBOE,ALB,CAH,COF,AJG,,,AWK
RL,AMCR,FIS,ALL,FIS,ALGN,EA,ARE,CINF,ARE,CCL,CAH,AVB,,,AME
,AAL,FTV,GOOG,FTV,LNT,FIS,ALGN,GLW,ALGN,CBOE,CCL,COG,,,APTV
,AXP,PFE,MO,FOX,ALL,FMC,ALLE,XRAY,ALLE,CMG,CBOE,COF,,,ADM
,AWK,RL,AMCR,GPS,GOOG,FTV,LNT,EIX,LNT,CINF,CF,CAH,,,AJG
,AME,,AAL,KIM,MO,FOX,ALL,EA,ALL,GLW,CMG,CCL,,,AVB
,APH,,AEP,PFE,AMCR,GPS,GOOG,FIS,GOOG,XRAY,CINF,CBOE,,,COG
,APTV,,AXP,RL,AAL,INCY,MO,FMC,MO,DISCK,GLW,CF,,,COF
,ADM,,AWK,UNM,AEP,KIM,AMCR,FTV,AMCR,DG,CTVA,CMG,,,CAH
,AJG,,AME,,AXP,MAA,AEE,FOX,AEE,DOV,XRAY,CINF,,,CCL
,AIZ,,APH,,AWK,PFE,AAL,GPS,AAL,EIX,DISCK,CTXS,,,CBOE
,AVB,,ADI,,AME,RL,AEP,INCY,AEP,EA,DG,GLW,,,CBRE
,BK,,ANSS,,APH,UNM,AXP,KIM,AXP,EXPD,DOV,CTVA,,,CF
,BIO,,APA,,ADI,WY,AIG,MTB,AIG,FIS,EIX,XRAY,,,CMG
,COG,,AAPL,,ANSS,,AWK,MAA,AMT,FMC,EA,DISCK,,,CINF
,COF,,APTV,,APA,,AME,OKE,AWK,FTV,EXPD,DG,,,CTXS
,CAH,,ADM,,AAPL,,APH,ORCL,AMP,FOX,FIS,DOV,,,STZ
,CCL,,AJG,,AMAT,,ADI,PFE,ABC,GPS,FMC,EIX,,,COO
,CBOE,,AIZ,,APTV,,ANSS,RL,AME,INCY,FTV,EA,,,GLW
,CBRE,,AVB,,ADM,,APA,UNM,APH,KIM,FOX,EXPD,,,CTVA
,CF,,BK,,AJG,,AAPL,WY,ADI,MTB,GPS,FIS,,,COST
,CMG,,BIO,,AIZ,,AMAT,,ANSS,MAA,INCY,FMC,,,DE
,CHD,,COG,,AVB,,APTV,,APA,NLOK,IP,FTV,,,XRAY
,CI,,COF,,BAC,,ADM,,AAPL,OKE,KIM,FOXA,,,DISCK
,CINF,,CAH,,BK,,AJG,,AMAT,ORCL,MTB,FOX,,,DG
,CTXS,,KMX,,BIO,,AIZ,,APTV,PFE,MKTX,GPS,,,DOV
,KO,,CCL,,AVGO,,AVB,,ADM,RL,MCHP,GNRC,,,EIX
,STZ,,CBOE,,COG,,BAC,,AJG,UNM,MAA,GPC,,,EA
,COO,,CBRE,,CDNS,,BK,,AIZ,WU,NWS,GL,,,EXPD
,GLW,,CF,,CZR,,BIO,,T,WY,NLOK,HLT,,,FIS
,CTVA,,CVX,,COF,,AVGO,,ADSK,,OKE,HON,,,FMC
,COST,,CMG,,CAH,,COG,,ADP,,ORCL,IEX,,,FTNT
,DE,,CHD,,KMX,,CDNS,,AVB,,PFE,INCY,,,FTV
,XRAY,,CI,,CCL,,CZR,,BLL,,RL,IP,,,FOXA
,DLR,,CINF,,CAT,,COF,,BAC,,TMO,KIM,,,FOX
,DISCK,,CTXS,,CBOE,,CAH,,BK,,TYL,LMT,,,GPS
,DG,,KO,,CBRE,,KMX,,BBY,,UNM,MTB,,,GNRC
,DLTR,,CTSH,,CF,,CCL,,BIO,,VLO,MKTX,,,GPC
,DOV,,STZ,,CVX,,CAT,,BLK,,WU,MET,,,GL
,DRE,,COO,,CMG,,CBOE,,BKNG,,WY,MCHP,,,HIG
,EMN,,GLW,,CHD,,CBRE,,BWA,,XYL,MAA,,,PEAK
,EIX,,CTVA,,CI,,CF,,BXP,,ZION,NWS,,,HLT
,EA,,COST,,CINF,,CHTR,,BSX,,,NLOK,,,HOLX
,ETSY,,DHR,,CTXS,,CVX,,AVGO,,,OKE,,,HON
,EXPD,,DE,,CLX,,CMG,,BR,,,ORCL,,,IEX
,FIS,,DAL,,KO,,CHD,,CHRW,,,PFE,,,INCY
,FMC,,XRAY,,CTSH,,CI,,COG,,,PRU,,,IP
,FTNT,,DLR,,STZ,,CINF,,CDNS,,,RL,,,KIM
,FTV,,DISCK,,COO,,CTAS,,CZR,,,RMD,,,LMT
,FOXA,,DG,,GLW,,CTXS,,CPB,,,TER,,,MTB
,FOX,,DLTR,,CTVA,,CLX,,COF,,,TMO,,,MRO
,GPS,,DOV,,COST,,KO,,CAH,,,TJX,,,MKTX
,GNRC,,DRE,,DHR,,CTSH,,KMX,,,TYL,,,MA
,GPC,,EMN,,DE,,CL,,CCL,,,UNM,,,MET
,GILD,,EIX,,DAL,,STZ,,CTLT,,,VLO,,,MCHP
,GL,,EA,,XRAY,,COO,,CAT,,,WU,,,MAA
,HBI,,EMR,,DLR,,GLW,,CBOE,,,WY,,,NTAP
,HIG,,ETSY,,DISCK,,CTVA,,CBRE,,,XYL,,,NWL
,PEAK,,EXPD,,DG,,COST,,CE,,,ZION,,,NWS
,HLT,,EXR,,DLTR,,DHR,,CF,,,,,,NLOK
,HOLX,,FB,,DOV,,DE,,CHTR,,,,,,OKE
,HON,,FRT,,DRE,,DAL,,CVX,,,,,,ORCL
,HRL,,FIS,,EMN,,XRAY,,CMG,,,,,,PCAR
,HBAN,,FITB,,EIX,,DLR,,CB,,,,,,PFE
,IEX,,FLIR,,EA,,DFS,,CHD,,,,,,PRU
,INFO,,FMC,,EMR,,DISCK,,CI,,,,,,RL
,INCY,,FTNT,,ENPH,,DG,,CINF,,,,,,RMD
,IP,,FTV,,ETR,,DLTR,,CTAS,,,,,,TER
,KIM,,FOXA,,EOG,,DPZ,,C,,,,,,TMO
,LMT,,FOX,,ETSY,,DOV,,CTXS,,,,,,TJX
,MTB,,GPS,,EXPE,,DOW,,CLX,,,,,,TT
,MRO,,GRMN,,EXPD,,DRE,,CME,,,,,,TRV
,MKTX,,GNRC,,EXR,,EMN,,KO,,,,,,TYL
,MA,,GIS,,FB,,ETN,,CTSH,,,,,,UNM
,MET,,GPC,,FRT,,ECL,,CL,,,,,,VLO
,MCHP,,GILD,,FIS,,EIX,,CMCSA,,,,,,WU
,MAA,,GL,,FITB,,EA,,ED,,,,,,WY
,TAP,,GWW,,FLIR,,EMR,,STZ,,,,,,WLTW
,NTAP,,HBI,,FMC,,ENPH,,COO,,,,,,XYL
,NWL,,HIG,,FTNT,,ETR,,GLW,,,,,,ZBH
,NWS,,PEAK,,FTV,,EOG,,CTVA,,,,,,ZION
,NSC,,HLT,,FOXA,,ETSY,,COST,,,,,,
,NTRS,,HOLX,,FOX,,RE,,CCI,,,,,,
,NLOK,,HON,,GPS,,EXPE,,CSX,,,,,,
,OKE,,HRL,,GRMN,,EXPD,,CMI,,,,,,
,ORCL,,HBAN,,IT,,EXR,,CVS,,,,,,
,PCAR,,IEX,,GNRC,,XOM,,DHR,,,,,,
,PFE,,INFO,,GD,,FB,,DE,,,,,,
,PGR,,INCY,,GE,,FAST,,DAL,,,,,,
,PRU,,IP,,GIS,,FRT,,XRAY,,,,,,
,RL,,JNPR,,GPC,,FIS,,DVN,,,,,,
,RMD,,KIM,,GILD,,FITB,,DLR,,,,,,
,RHI,,LMT,,GL,,FLIR,,DFS,,,,,,
,SPG,,MTB,,GWW,,FMC,,DISCA,,,,,,
,TDY,,MRO,,HBI,,F,,DISCK,,,,,,
,TER,,MPC,,HIG,,FTNT,,DG,,,,,,
,TMO,,MKTX,,PEAK,,FTV,,DLTR,,,,,,
,TJX,,MA,,HES,,FOXA,,DPZ,,,,,,
,TSCO,,MET,,HLT,,FOX,,DOV,,,,,,
,TT,,MCHP,,HFC,,GPS,,DOW,,,,,,
,TRV,,MAA,,HOLX,,GRMN,,DTE,,,,,,
,TYL,,TAP,,HON,,IT,,DRE,,,,,,
,UNM,,NTAP,,HRL,,GNRC,,EMN,,,,,,
,VLO,,NWL,,HBAN,,GD,,ETN,,,,,,
,WU,,NWS,,IEX,,GE,,ECL,,,,,,
,WY,,NSC,,IDXX,,GIS,,EIX,,,,,,
,WLTW,,NTRS,,INFO,,GPC,,EA,,,,,,
,XYL,,NLOK,,ITW,,GILD,,EMR,,,,,,
,ZBRA,,NRG,,INCY,,GL,,ENPH,,,,,,
,ZBH,,OKE,,IR,,GWW,,ETR,,,,,,
,ZION,,ORCL,,IP,,HBI,,EOG,,,,,,
,,,OTIS,,IQV,,HIG,,EQIX,,,,,,
,,,PCAR,,JPM,,HCA,,ETSY,,,,,,
,,,PRGO,,JNPR,,PEAK,,RE,,,,,,
,,,PFE,,K,,HES,,EXPE,,,,,,
,,,PGR,,KMB,,HPE,,EXPD,,,,,,
,,,PRU,,KIM,,HLT,,EXR,,,,,,
,,,RL,,LHX,,HFC,,XOM,,,,,,
,,,RF,,LMT,,HOLX,,FB,,,,,,
,,,RMD,,LYB,,HON,,FAST,,,,,,
,,,RHI,,MTB,,HRL,,FRT,,,,,,
,,,ROK,,MRO,,HPQ,,FIS,,,,,,
