11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ABMD,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,ABMD,ABMD,MMM
AWK,ABMD,ABMD,ABMD,ABMD,ABMD,ABMD,ABBV,ABMD,ABBV,ABMD,ABMD,ABMD,AWK,AWK,ABMD
CAG,ADBE,AWK,ATVI,ALK,ATVI,ALK,ABMD,ALK,ABMD,ALK,AFL,AFL,CPRT,CPRT,AFL
CPRT,AES,AOS,ADBE,AWK,ADBE,AWK,ATVI,AWK,ACN,AWK,ALK,ALK,MLM,HPE,ALK
HPE,AFL,CAG,AMD,AOS,AMD,AOS,ADBE,AOS,ATVI,ADI,AXP,AMCR,NWS,HWM,GOOGL
HWM,ALK,CPRT,AES,CINF,AAP,CINF,AMD,CE,ADBE,ANSS,AIG,AEP,PNR,MLM,AMZN
MLM,ALL,HPE,AFL,CAG,AES,CAG,AAP,CINF,AMD,AOS,AWK,AXP,SIVB,NWS,AMCR
MDT,GOOGL,HFC,ALK,CPRT,AFL,CPRT,AES,CAG,AAP,CE,ADI,AIG,,PNR,AEP
NWS,AMZN,HWM,ARE,HPE,A,CCI,AFL,CPRT,AES,CINF,ANSS,AWK,,SIVB,AXP
PNR,AMCR,MLM,ALL,HFC,ALK,HPE,A,CCI,AFL,CAG,AOS,ADI,,,AIG
SIVB,AEP,MDT,GOOGL,HWM,ARE,HFC,ALK,DTE,A,CPRT,CE,ANSS,,,AWK
,AXP,NWS,AMZN,ITW,ALXN,HWM,ARE,GD,AKAM,CCI,CINF,AOS,,,ADI
,AIG,PNR,AMCR,INCY,ALL,ITW,ALXN,HPE,ALK,CSX,CAG,APTV,,,ANSS
,AWK,SIVB,AEP,MLM,GOOGL,INCY,ALGN,HFC,ARE,DTE,STZ,T,,,AOS
,AME,,AXP,MDT,AMZN,L,ALL,HWM,ALXN,EMN,CPRT,BLL,,,APTV
,AMGN,,AIG,NWS,AMCR,MLM,GOOGL,ITW,ALGN,GD,CCI,BDX,,,T
,ADI,,AWK,PNR,AEE,MDT,GOOG,INCY,ALL,HSIC,CSX,CE,,,ATO
,ANSS,,AMP,SIVB,AEP,NWS,AMZN,L,GOOGL,HPE,DTE,CINF,,,BLL
,AOS,,AME,,AXP,PNR,AMCR,MLM,GOOG,HFC,EMN,CAG,,,BDX
,APTV,,AMGN,,AIG,SWKS,AEE,MDT,AMZN,HWM,GD,STZ,,,BIIB
,T,,ADI,,AWK,SNA,AEP,MGM,AMCR,ITW,HSIC,CPRT,,,AVGO
,ATO,,ANSS,,AMP,SIVB,AXP,NWS,AEE,INCY,HPE,CCI,,,CBRE
,AVB,,AOS,,AME,TDG,AIG,PAYX,AEP,LEG,HFC,CSX,,,CE
,BLL,,APA,,AMGN,,AMT,PNR,AXP,L,HWM,DHI,,,CNC
,BDX,,AMAT,,ADI,,AWK,SWKS,AIG,MLM,ITW,DTE,,,CB
,BIIB,,APTV,,ANSS,,AMP,SNA,AMT,MCD,INCY,DRE,,,CINF
,AVGO,,AIZ,,AOS,,AME,SIVB,AWK,MDT,JBHT,EMN,,,CAG
,CARR,,T,,APA,,AMGN,TDG,AMP,MGM,LEG,EXPD,,,COP
,CBRE,,ATO,,AMAT,,ADI,TFC,ABC,NWS,L,FAST,,,STZ
,CE,,AVB,,APTV,,ANSS,TSN,AME,PAYX,LYB,FIS,,,CPRT
,CNC,,BLL,,AJG,,AOS,,AMGN,PNR,MLM,GD,,,CCI
,CB,,BDX,,AIZ,,APA,,APH,SWKS,MCD,HSIC,,,CSX
,CINF,,BIIB,,T,,AMAT,,ADI,SNA,MDT,HPE,,,DHI
,CAG,,BA,,ATO,,APTV,,ANSS,SIVB,MGM,HFC,,,DTE
,COP,,AVGO,,AVB,,AJG,,AON,TDG,NWS,HWM,,,DRE
,STZ,,CARR,,BLL,,AIZ,,AOS,TFC,PAYX,ITW,,,EMN
,CPRT,,CBRE,,BDX,,T,,APA,TSN,PNR,INCY,,,EL
,CCI,,CE,,BIIB,,ATO,,AMAT,VLO,QRVO,JBHT,,,EXPE
,CSX,,CNC,,BA,,AZO,,APTV,WRB,ROL,LEG,,,EXPD
,CVS,,CERN,,BWA,,AVB,,ADM,,SPGI,LIN,,,FAST
,DHI,,CB,,AVGO,,BLL,,AJG,,SBAC,L,,,FIS
,DHR,,CINF,,CHRW,,BAX,,AIZ,,SWKS,LYB,,,GD
,DVA,,CTXS,,CARR,,BDX,,T,,SNA,MLM,,,HSIC
,DLR,,CAG,,CBRE,,BBY,,ATO,,SIVB,MCD,,,HES
,DFS,,COP,,CDW,,BIIB,,ADP,,TDG,MDT,,,HPE
,DTE,,STZ,,CE,,BA,,AZO,,TFC,MGM,,,HFC
,DRE,,CPRT,,CNC,,BWA,,AVB,,TSN,MCHP,,,HWM
,EMN,,CCI,,CNP,,AVGO,,BKR,,VLO,NTAP,,,ITW
,EL,,CSX,,CERN,,BR,,BLL,,WRB,NWS,,,ILMN
,RE,,CVS,,CB,,CHRW,,BAX,,WAB,OTIS,,,INCY
,EXPE,,DHI,,CINF,,CZR,,BDX,,WMT,PAYX,,,JBHT
,EXPD,,DHR,,CTAS,,CCL,,BBY,,,PNR,,,LVS
,XOM,,DVA,,CSCO,,CARR,,BIO,,,QRVO,,,LEG
,FAST,,DLR,,CFG,,CBOE,,BIIB,,,RTX,,,LEN
,FRT,,DFS,,CTXS,,CBRE,,BLK,,,ROL,,,LIN
,FIS,,DISCA,,CMS,,CDW,,BA,,,SPGI,,,L
,GRMN,,DTE,,CAG,,CE,,BKNG,,,SBAC,,,LYB
,GD,,DRE,,COP,,CNC,,BWA,,,SWKS,,,MLM
,PEAK,,EMN,,STZ,,CNP,,BMY,,,SNA,,,MCD
,HSIC,,EFX,,CPRT,,CERN,,AVGO,,,SIVB,,,MDT
,HES,,EL,,COST,,CB,,BR,,,TDG,,,MGM
,HPE,,RE,,CCI,,CINF,,CHRW,,,TFC,,,MCHP
,HFC,,EXPE,,CSX,,CTAS,,CZR,,,TSN,,,NTAP
,HWM,,EXPD,,CVS,,CSCO,,CCL,,,VLO,,,NWS
,ITW,,XOM,,DHI,,C,,CARR,,,WRB,,,OTIS
,ILMN,,FAST,,DHR,,CFG,,CAT,,,WAB,,,PAYX
